datetime,millis,device_id,library_version,battery_voltage,temperature_c,pressure_hpa,humidity_percent,lux,activity_count,activity_percent,inactivity_period_s,inactivity_count,inactivity_percent,min_free_heap,reboot
2025-11-16 00:00:43,3828,008,2.1.0,4.040,22.17,989.50,53.91,0.0000,3,0.005,40,14,0.995,265096,0
2025-11-16 00:10:46,3829,008,2.1.0,4.039,22.31,989.49,54.88,0.0000,245,0.408,40,2,0.246,265096,0
2025-11-16 00:20:48,3829,008,2.1.0,4.037,22.50,989.54,56.67,0.0000,210,0.349,40,1,0.160,265096,0
2025-11-16 00:30:51,3829,008,2.1.0,4.040,22.40,989.57,55.48,0.0000,132,0.220,40,7,0.680,265096,0
2025-11-16 00:40:55,3829,008,2.1.0,4.039,22.34,989.78,54.19,0.0000,111,0.185,40,11,0.799,265096,0
2025-11-16 00:50:58,3829,008,2.1.0,4.040,22.33,989.90,55.27,0.0000,149,0.248,40,6,0.617,265096,0
2025-11-16 01:01:01,3829,008,2.1.0,4.040,22.27,989.95,54.27,0.0000,17,0.028,40,13,0.968,265096,0
2025-11-16 01:11:04,3829,008,2.1.0,4.040,22.19,990.06,53.12,0.0000,0,0.000,40,14,1.000,265096,0
2025-11-16 01:21:08,3830,008,2.1.0,4.039,22.10,990.29,52.29,0.0000,0,0.000,40,14,1.000,265096,0
2025-11-16 01:31:11,3828,008,2.1.0,4.037,22.05,990.32,51.99,0.0000,0,0.000,40,14,1.000,265096,0
2025-11-16 01:41:15,3828,008,2.1.0,4.039,22.00,990.41,52.03,0.0000,0,0.000,40,14,1.000,265096,0
2025-11-16 01:51:17,3827,008,2.1.0,4.039,22.02,990.58,51.96,0.0000,49,0.082,40,11,0.900,265096,0
2025-11-16 02:01:20,3829,008,2.1.0,4.039,22.00,990.77,51.38,0.0000,0,0.000,40,14,1.000,265096,0
2025-11-16 02:11:24,3829,008,2.1.0,4.036,21.99,990.91,50.83,0.0000,0,0.000,40,14,1.000,265096,0
2025-11-16 02:21:26,3828,008,2.1.0,4.040,22.01,991.02,51.47,0.0000,30,0.050,40,12,0.941,265096,0
2025-11-16 02:31:29,3827,008,2.1.0,4.039,22.03,991.09,51.85,0.0000,0,0.000,40,14,1.000,265096,0
2025-11-16 02:41:33,3829,008,2.1.0,4.039,22.09,991.19,52.71,0.0000,36,0.060,40,12,0.930,265096,0
2025-11-16 02:51:35,3829,008,2.1.0,4.037,22.12,991.32,52.80,0.0000,17,0.028,40,13,0.968,265096,0
2025-11-16 03:02:35,3828,008,2.1.0,4.037,22.29,991.53,53.08,0.0000,2,0.003,40,14,0.996,265096,0
2025-11-16 03:12:38,3827,008,2.1.0,4.039,22.33,991.46,53.78,0.0000,148,0.246,40,7,0.654,265096,0
2025-11-16 03:22:41,3829,008,2.1.0,4.039,22.39,991.71,53.59,0.0000,54,0.090,40,10,0.881,265096,0
2025-11-16 03:32:44,3829,008,2.1.0,4.039,22.37,991.88,53.59,0.0000,0,0.000,40,14,1.000,265096,0
2025-11-16 03:42:47,3827,008,2.1.0,4.037,22.35,992.15,53.98,0.0000,0,0.000,40,14,1.000,265096,0
2025-11-16 03:52:49,3829,008,2.1.0,4.039,22.43,992.36,56.21,0.0000,114,0.190,40,9,0.759,265096,0
2025-11-16 04:02:53,3829,008,2.1.0,4.036,22.49,992.55,56.05,0.0000,172,0.286,40,6,0.583,265096,0
2025-11-16 04:12:55,3828,008,2.1.0,4.037,22.56,992.88,57.70,0.0000,119,0.198,40,6,0.669,265096,0
2025-11-16 04:22:58,3828,008,2.1.0,4.037,22.50,993.01,56.46,0.0000,0,0.000,40,14,1.000,265096,0
2025-11-16 04:33:01,3829,008,2.1.0,4.036,22.46,993.00,55.56,0.0000,0,0.000,40,14,1.000,265096,0
2025-11-16 04:43:04,3837,008,2.1.0,4.037,22.59,993.04,56.57,0.0000,196,0.326,40,4,0.449,265096,0
2025-11-16 04:53:07,3828,008,2.1.0,4.037,22.61,993.19,56.08,0.0000,128,0.213,40,7,0.686,265096,0
2025-11-16 05:03:10,3827,008,2.1.0,4.037,22.65,993.08,56.40,0.0000,117,0.195,40,7,0.705,265096,0
2025-11-16 05:13:13,3829,008,2.1.0,4.036,22.61,993.21,56.31,0.0000,41,0.068,40,12,0.921,265096,0
