Mouse_ID,Win-stay_Bandit100,Lose-shift_Bandit100,PeakAccuracy_Bandit100,Total_pellets_Bandit100,Total_pokes_Bandit100,PokesPerPellet_Bandit100,RetrievalTime_Bandit100,PokeTime_Bandit100,daily pellets_Bandit100,Win-stay_Day_Bandit100,Win-stay_Night_Bandit100,Lose-shift_Day_Bandit100,Lose-shift_Night_Bandit100,PeakAccuracy_Day_Bandit100,PeakAccuracy_Night_Bandit100
ChocoHFD_001_1,0.665427509,0.407407407,0.69375,341,647,1.897360704,1.07,0.125,121.6480585,0.705882353,0.651741294,0.25,0.424657534,0.85,0.628571429
ChocoHFD_001_2,0.543478261,0.489361702,0.69,222,458,2.063063063,2.75,0.2,75.32486913,0.4,0.56097561,0.666666667,0.477272727,0.65,0.7
ChocoHFD_001_3,0.771126761,0.391304348,0.777777778,370,613,1.656756757,1.07,0.14,127.3850116,0.807692308,0.762931034,0,0.428571429,0.675,0.776470588
ChocoHFD_001_4,0.841530055,0.545454545,0.85,458,671,1.465065502,0.65,0.14,162.9591194,0.857142857,0.838187702,0.5,0.555555556,0.8,0.826315789
ChocoHFD_001_5,0.691891892,0.476190476,0.743478261,482,822,1.705394191,0.95,0.13,165.1483547,0.666666667,0.698630137,0.642857143,0.442857143,0.7,0.75
ChocoHFD_001_6,0.816326531,0.53968254,0.746153846,532,836,1.571428571,0.83,0.1,181.7659829,0.827160494,0.813504823,0.363636364,0.576923077,0.783333333,0.740909091
ChocoHFD_001_7,0.667638484,0.443396226,0.691304348,466,842,1.806866953,1.07,0.11,159.6113832,0.647887324,0.672794118,0.470588235,0.438202247,0.66,0.694117647
ChocoHFD_001_8,0.779456193,0.423076923,0.868421053,390,634,1.625641026,1.19,0.14,133.1836651,0.652173913,0.788961039,0.5,0.416666667,,0.852631579
ChocoHFD_001_9,0.763848397,0.452830189,0.76,418,691,1.653110048,1.07,0.12,145.0998196,0.75,0.765472313,0.444444444,0.454545455,0.7,0.747368421
ChocoHFD_001_10,0.741935484,0.508196721,0.69047619,435,738,1.696551724,1.25,0.13,152.1089823,0.615384615,0.760147601,0.25,0.547169811,0.5,0.705
ChocoHFD_001_11,0.736196319,0.491803279,0.723809524,423,711,1.680851064,0.95,0.13,145.1806655,0.791666667,0.719367589,0.5,0.489795918,0.783333333,0.6875
ChocoHFD_001_12,0.737931034,0.586206897,0.794444444,371,629,1.69541779,1.43,0.13,129.1396572,0.702702703,0.746543779,0.461538462,0.622222222,0.575,0.78
,,,,,,,,,,,,,,,
ChocoHFD_001_14,0.731292517,0.414893617,0.784210526,404,739,1.829207921,0.77,0.13,141.6106839,0.886363636,0.704,0.222222222,0.435294118,0.9,0.711111111
ChocoHFD_001_15,0.730337079,0.506493506,0.757142857,442,737,1.667420814,0.71,0.15,153.2055926,0.542857143,0.753125,0.454545455,0.515151515,0.7,0.757142857
ChocoHFD_001_16,0.825363825,0.491525424,0.807142857,579,842,1.454231434,0.71,0.1,202.092608,0.80952381,0.827751196,0.5,0.490909091,0.8,0.807407407
ChocoHFD_001_17,0.766826923,0.328571429,0.761538462,534,888,1.662921348,1.37,0.11,184.3520372,0.769230769,0.766483516,0.142857143,0.338709677,0.825,0.719047619
ChocoHFD_001_18,0.809248555,0.4,0.872727273,444,754,1.698198198,0.59,0.1,155.9123091,0.819672131,0.807017544,0.6,0.363636364,0.85,0.833333333
ChocoHFD_001_19,0.842592593,0.406779661,0.795,415,665,1.602409639,0.77,0.09,147.7769169,0.76,0.849498328,0.5,0.407407407,0.7,0.815
ChocoHFD_001_20,0.721311475,0.490196078,0.72,509,901,1.770137525,1.07,0.11,180.2900048,0.773333333,0.70790378,0.333333333,0.511111111,0.6,0.695454545
