MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/3/2025 17:18:18,1.17.2,Bandit100,2,3.47,nan,20,0,100,Right,Right,0,1,0,0,nan,nan,0.25
11/3/2025 17:20:36,1.17.2,Bandit100,2,3.47,3,20,0,100,Pellet,Right,0,1,1,0,Timed_out,nan,nan
11/3/2025 17:25:42,1.17.2,Bandit100,2,3.48,nan,20,0,100,Right,Right,0,2,1,1,nan,nan,0.02
11/3/2025 17:25:42,1.17.2,Bandit100,2,3.47,nan,20,0,100,RightDuringDispense,Right,0,2,1,1,nan,nan,0.06
11/3/2025 17:26:23,1.17.2,Bandit100,2,3.48,3,20,0,100,Pellet,Right,0,2,2,1,38.16,347,nan
11/3/2025 17:34:07,1.17.2,Bandit100,2,3.47,nan,20,0,100,Left,Right,1,2,2,2,nan,nan,0.14
11/3/2025 18:06:33,1.17.2,Bandit100,2,3.48,nan,20,0,100,Left,Right,2,2,2,2,nan,nan,0.42
11/3/2025 18:30:51,1.17.2,Bandit100,2,3.48,nan,20,0,100,Left,Right,3,2,2,2,nan,nan,0.18
11/3/2025 18:47:43,1.17.2,Bandit100,2,3.48,nan,20,0,100,Right,Right,3,3,2,2,nan,nan,0.55
11/3/2025 18:48:08,1.17.2,Bandit100,2,3.48,2,20,0,100,Pellet,Right,3,3,3,2,24.34,4905,nan
11/3/2025 18:49:11,1.17.2,Bandit100,2,3.47,nan,20,0,100,Left,Right,4,3,3,3,nan,nan,0.51
11/3/2025 19:00:40,1.17.2,Bandit100,2,3.47,nan,20,0,100,Left,Right,5,3,3,3,nan,nan,0.10
11/3/2025 19:10:15,1.17.2,Bandit100,2,3.47,nan,20,0,100,Left,Right,6,3,3,3,nan,nan,0.09
11/3/2025 19:11:20,1.17.2,Bandit100,2,3.48,nan,20,0,100,Right,Right,6,4,3,3,nan,nan,0.07
11/3/2025 19:11:34,1.17.2,Bandit100,2,3.47,2,20,0,100,Pellet,Right,6,4,4,3,10.95,1406,nan
11/3/2025 19:15:56,1.17.2,Bandit100,2,3.47,nan,20,0,100,Right,Right,6,5,4,4,nan,nan,0.03
11/3/2025 19:16:14,1.17.2,Bandit100,2,3.47,1,20,0,100,Pellet,Right,6,5,5,4,17.01,280,nan
11/3/2025 19:16:35,1.17.2,Bandit100,2,3.48,nan,20,0,100,Right,Right,6,6,5,5,nan,nan,0.14
11/3/2025 19:17:38,1.17.2,Bandit100,2,3.48,1,20,0,100,Pellet,Right,6,6,6,5,Timed_out,84,nan
11/3/2025 19:18:09,1.17.2,Bandit100,2,3.47,nan,20,0,100,Right,Right,6,7,6,6,nan,nan,0.01
11/3/2025 19:18:19,1.17.2,Bandit100,2,3.47,1,20,0,100,Pellet,Right,6,7,7,6,8.61,41,nan
11/3/2025 19:19:02,1.17.2,Bandit100,2,3.47,nan,20,0,100,Right,Right,6,8,7,7,nan,nan,0.02
11/3/2025 19:19:07,1.17.2,Bandit100,2,3.47,1,20,0,100,Pellet,Right,6,8,8,7,4.36,48,nan
11/3/2025 19:19:38,1.17.2,Bandit100,2,3.48,nan,20,0,100,Left,Right,7,8,8,8,nan,nan,0.00
11/3/2025 19:19:51,1.17.2,Bandit100,2,3.47,nan,20,0,100,Left,Right,8,8,8,8,nan,nan,0.01
11/3/2025 19:19:52,1.17.2,Bandit100,2,3.47,nan,20,0,100,LeftinTimeOut,Right,8,8,8,8,nan,nan,nan
11/3/2025 19:20:08,1.17.2,Bandit100,2,3.47,nan,20,0,100,Right,Right,8,9,8,8,nan,nan,0.02
11/3/2025 19:20:26,1.17.2,Bandit100,2,3.47,6,20,0,100,Pellet,Right,8,9,9,8,6.58,79,nan
11/3/2025 19:20:41,1.17.2,Bandit100,2,3.47,nan,20,0,100,Right,Right,8,10,9,9,nan,nan,0.17
11/3/2025 19:20:41,1.17.2,Bandit100,2,3.47,nan,20,0,100,RightDuringDispense,Right,8,10,9,9,nan,nan,0.01
11/3/2025 19:20:47,1.17.2,Bandit100,2,3.47,3,20,0,100,Pellet,Right,8,10,10,9,2.98,21,nan
11/3/2025 19:21:54,1.17.2,Bandit100,2,3.47,nan,20,0,100,Right,Right,8,11,10,10,nan,nan,0.50
11/3/2025 19:21:57,1.17.2,Bandit100,2,3.48,nan,20,0,100,RightWithPellet,Right,8,12,10,10,nan,nan,0.16
11/3/2025 19:21:58,1.17.2,Bandit100,2,3.47,1,20,0,100,Pellet,Right,8,12,11,10,3.31,71,nan
11/3/2025 19:22:34,1.17.2,Bandit100,2,3.47,nan,20,0,100,Right,Right,8,13,11,11,nan,nan,0.41
11/3/2025 19:22:39,1.17.2,Bandit100,2,3.47,1,20,0,100,Pellet,Right,8,13,12,11,4.36,41,nan
11/3/2025 19:22:56,1.17.2,Bandit100,2,3.48,nan,20,0,100,Right,Right,8,14,12,12,nan,nan,0.13
11/3/2025 19:22:57,1.17.2,Bandit100,2,3.47,nan,20,0,100,RightDuringDispense,Right,8,14,12,12,nan,nan,0.18
11/3/2025 19:23:01,1.17.2,Bandit100,2,3.47,2,20,0,100,Pellet,Right,8,14,13,12,1.55,22,nan
11/3/2025 19:23:35,1.17.2,Bandit100,2,3.47,nan,20,0,100,Left,Right,9,14,13,13,nan,nan,0.12
11/3/2025 19:23:48,1.17.2,Bandit100,2,3.47,nan,20,0,100,Left,Right,10,14,13,13,nan,nan,0.07
11/3/2025 19:23:49,1.17.2,Bandit100,2,3.47,nan,20,0,100,LeftinTimeOut,Right,10,14,13,13,nan,nan,nan
11/3/2025 19:23:49,1.17.2,Bandit100,2,3.47,nan,20,0,100,LeftinTimeOut,Right,10,14,13,13,nan,nan,nan
11/3/2025 19:23:53,1.17.2,Bandit100,2,3.47,nan,20,0,100,RightinTimeout,Right,10,14,13,13,nan,nan,0.00
11/3/2025 19:23:54,1.17.2,Bandit100,2,3.47,nan,20,0,100,RightinTimeout,Right,10,14,13,13,nan,nan,0.00
11/3/2025 19:23:54,1.17.2,Bandit100,2,3.47,nan,20,0,100,RightinTimeout,Right,10,14,13,13,nan,nan,0.00
11/3/2025 19:24:13,1.17.2,Bandit100,2,3.47,nan,20,0,100,Right,Right,10,15,13,13,nan,nan,0.27
11/3/2025 19:24:17,1.17.2,Bandit100,2,3.47,3,20,0,100,Pellet,Right,10,15,14,13,1.01,76,nan
11/3/2025 19:26:00,1.17.2,Bandit100,2,3.47,nan,20,0,100,Right,Right,10,16,14,14,nan,nan,0.19
11/3/2025 19:26:06,1.17.2,Bandit100,2,3.48,1,20,0,100,Pellet,Right,10,16,15,14,5.74,109,nan
11/3/2025 19:27:05,1.17.2,Bandit100,2,3.48,nan,20,0,100,Left,Right,11,16,15,15,nan,nan,0.06
11/3/2025 19:28:03,1.17.2,Bandit100,2,3.47,nan,20,0,100,Right,Right,11,17,15,15,nan,nan,0.37
11/3/2025 19:28:17,1.17.2,Bandit100,2,3.47,1,20,0,100,Pellet,Right,11,17,16,15,13.00,131,nan
11/3/2025 19:31:29,1.17.2,Bandit100,2,3.47,nan,20,0,100,Right,Right,11,18,16,16,nan,nan,0.15
11/3/2025 19:31:37,1.17.2,Bandit100,2,3.47,2,20,0,100,Pellet,Right,11,18,17,16,4.72,200,nan
11/3/2025 19:34:06,1.17.2,Bandit100,2,3.47,nan,20,0,100,Left,Right,12,18,17,17,nan,nan,0.09
11/3/2025 19:34:07,1.17.2,Bandit100,2,3.48,nan,20,0,100,LeftinTimeOut,Right,12,18,17,17,nan,nan,nan
11/3/2025 19:34:07,1.17.2,Bandit100,2,3.48,nan,20,0,100,LeftinTimeOut,Right,12,18,17,17,nan,nan,nan
11/3/2025 19:34:07,1.17.2,Bandit100,2,3.47,nan,20,0,100,LeftinTimeOut,Right,12,18,17,17,nan,nan,nan
11/3/2025 19:34:08,1.17.2,Bandit100,2,3.47,nan,20,0,100,LeftinTimeOut,Right,12,18,17,17,nan,nan,nan
11/3/2025 19:36:50,1.17.2,Bandit100,2,3.47,nan,20,0,100,Right,Right,12,19,17,17,nan,nan,0.11
11/3/2025 19:36:55,1.17.2,Bandit100,2,3.47,1,20,0,100,Pellet,Right,12,19,18,17,3.88,318,nan
11/3/2025 19:40:03,1.17.2,Bandit100,2,3.47,nan,20,0,100,Left,Right,13,19,18,18,nan,nan,0.47
11/3/2025 19:40:19,1.17.2,Bandit100,2,3.47,nan,20,0,100,Left,Right,14,19,18,18,nan,nan,0.27
11/3/2025 19:42:38,1.17.2,Bandit100,2,3.47,nan,20,0,100,Right,Right,14,20,18,18,nan,nan,0.04
11/3/2025 19:42:40,1.17.2,Bandit100,2,3.48,1,20,0,100,Pellet,Right,14,20,19,18,1.31,345,nan
11/3/2025 19:42:55,1.17.2,Bandit100,2,3.48,nan,20,0,100,Right,Right,14,21,19,19,nan,nan,0.10
11/3/2025 19:42:56,1.17.2,Bandit100,2,3.48,nan,20,0,100,RightDuringDispense,Right,14,21,19,19,nan,nan,0.02
11/3/2025 19:43:02,1.17.2,Bandit100,2,3.47,2,20,0,100,Pellet,Right,14,21,20,19,4.00,22,nan
11/3/2025 19:43:47,1.17.2,Bandit100,2,3.47,nan,20,100,0,Left,Left,15,21,20,0,nan,nan,0.15
11/3/2025 19:43:48,1.17.2,Bandit100,2,3.48,nan,20,100,0,LeftDuringDispense,Left,15,21,20,0,nan,nan,0.42
11/3/2025 19:43:51,1.17.2,Bandit100,2,3.48,2,20,100,0,Pellet,Left,15,21,21,0,0.95,49,nan
11/3/2025 19:44:09,1.17.2,Bandit100,2,3.48,nan,20,100,0,Right,Left,15,22,21,1,nan,nan,0.02
11/3/2025 19:44:31,1.17.2,Bandit100,2,3.47,nan,20,100,0,Right,Left,15,23,21,1,nan,nan,0.04
