MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-11-03 18:04:51,1.17.2,Bandit100,10,4.15,,20,0,100,Right,Right,0,1,0,0,,,0.33
2025-11-03 18:10:06,1.17.2,Bandit100,10,4.14,3.0,20,0,100,Pellet,Right,0,1,1,0,,,
2025-11-03 18:11:30,1.17.2,Bandit100,10,4.14,,20,0,100,Right,Right,0,2,1,1,,,0.17
2025-11-03 18:11:31,1.17.2,Bandit100,10,4.14,,20,0,100,RightWithPellet,Right,0,3,1,1,,,0.08
2025-11-03 18:11:32,1.17.2,Bandit100,10,4.15,,20,0,100,RightWithPellet,Right,0,4,1,1,,,0.11
2025-11-03 18:12:20,1.17.2,Bandit100,10,4.15,2.0,20,0,100,Pellet,Right,0,4,2,1,49.45,134.0,
2025-11-03 18:12:30,1.17.2,Bandit100,10,4.15,,20,0,100,Left,Right,1,4,2,2,,,0.0
2025-11-03 18:20:35,1.17.2,Bandit100,10,4.14,,20,0,100,Right,Right,1,5,2,2,,,0.02
2025-11-03 18:23:52,1.17.2,Bandit100,10,4.14,1.0,20,0,100,Pellet,Right,1,5,3,2,,692.0,
2025-11-03 18:25:41,1.17.2,Bandit100,10,4.15,,20,0,100,Left,Right,2,5,3,3,,,0.11
2025-11-03 18:29:50,1.17.2,Bandit100,10,4.14,,20,0,100,Right,Right,2,6,3,3,,,0.01
2025-11-03 18:30:23,1.17.2,Bandit100,10,4.14,1.0,20,0,100,Pellet,Right,2,6,4,3,32.47,391.0,
2025-11-03 18:36:00,1.17.2,Bandit100,10,4.14,,20,0,100,Right,Right,2,7,4,4,,,0.07
2025-11-03 18:36:01,1.17.2,Bandit100,10,4.14,,20,0,100,RightDuringDispense,Right,2,7,4,4,,,0.43
2025-11-03 18:36:05,1.17.2,Bandit100,10,4.14,2.0,20,0,100,Pellet,Right,2,7,5,4,1.9,342.0,
2025-11-03 18:37:26,1.17.2,Bandit100,10,4.14,,20,0,100,Left,Right,3,7,5,5,,,0.59
2025-11-03 18:37:29,1.17.2,Bandit100,10,4.14,,20,0,100,LeftinTimeOut,Right,3,7,5,5,,,
2025-11-03 18:38:27,1.17.2,Bandit100,10,4.14,,20,0,100,Right,Right,3,8,5,5,,,0.12
2025-11-03 18:38:27,1.17.2,Bandit100,10,4.14,,20,0,100,RightDuringDispense,Right,3,8,5,5,,,0.16
2025-11-03 18:38:28,1.17.2,Bandit100,10,4.14,,20,0,100,RightDuringDispense,Right,3,8,5,5,,,0.25
2025-11-03 18:38:52,1.17.2,Bandit100,10,4.14,2.0,20,0,100,Pellet,Right,3,8,6,5,21.58,167.0,
2025-11-03 18:39:05,1.17.2,Bandit100,10,4.14,,20,0,100,Left,Right,4,8,6,6,,,0.04
2025-11-03 18:40:10,1.17.2,Bandit100,10,4.14,,20,0,100,Left,Right,5,8,6,6,,,0.09
2025-11-03 18:48:24,1.17.2,Bandit100,10,4.14,,20,0,100,Right,Right,5,9,6,6,,,0.06
2025-11-03 18:48:24,1.17.2,Bandit100,10,4.14,,20,0,100,RightDuringDispense,Right,5,9,6,6,,,0.03
2025-11-03 18:48:25,1.17.2,Bandit100,10,4.15,,20,0,100,RightDuringDispense,Right,5,9,6,6,,,0.04
2025-11-03 18:48:25,1.17.2,Bandit100,10,4.14,,20,0,100,RightDuringDispense,Right,5,9,6,6,,,0.0
2025-11-03 18:48:25,1.17.2,Bandit100,10,4.14,,20,0,100,RightDuringDispense,Right,5,9,6,6,,,0.02
2025-11-03 18:48:32,1.17.2,Bandit100,10,4.14,2.0,20,0,100,Pellet,Right,5,9,7,6,3.7,580.0,
2025-11-03 18:48:43,1.17.2,Bandit100,10,4.14,,20,0,100,Right,Right,5,10,7,7,,,0.06
2025-11-03 18:48:47,1.17.2,Bandit100,10,4.14,1.0,20,0,100,Pellet,Right,5,10,8,7,2.98,15.0,
2025-11-03 18:50:59,1.17.2,Bandit100,10,4.14,,20,0,100,Right,Right,5,11,8,8,,,0.13
2025-11-03 18:51:03,1.17.2,Bandit100,10,4.14,1.0,20,0,100,Pellet,Right,5,11,9,8,2.98,136.0,
2025-11-03 18:51:39,1.17.2,Bandit100,10,4.14,,20,0,100,Left,Right,6,11,9,9,,,0.35
2025-11-03 18:51:43,1.17.2,Bandit100,10,4.14,,20,0,100,RightinTimeout,Right,6,11,9,9,,,0.0
2025-11-03 18:52:32,1.17.2,Bandit100,10,4.14,,20,0,100,Left,Right,7,11,9,9,,,0.09
2025-11-03 18:52:59,1.17.2,Bandit100,10,4.14,,20,0,100,Left,Right,8,11,9,9,,,0.13
2025-11-03 18:57:04,1.17.2,Bandit100,10,4.14,,20,0,100,Left,Right,9,11,9,9,,,0.23
2025-11-03 18:57:09,1.17.2,Bandit100,10,4.15,,20,0,100,RightinTimeout,Right,9,11,9,9,,,0.0
2025-11-03 18:57:10,1.17.2,Bandit100,10,4.14,,20,0,100,RightinTimeout,Right,9,11,9,9,,,0.0
2025-11-03 19:02:50,1.17.2,Bandit100,10,4.14,,20,0,100,Right,Right,9,12,9,9,,,0.05
2025-11-03 19:02:53,1.17.2,Bandit100,10,4.14,1.0,20,0,100,Pellet,Right,9,12,10,9,2.14,710.0,
2025-11-03 19:03:07,1.17.2,Bandit100,10,4.14,,20,0,100,Left,Right,10,12,10,10,,,0.7
2025-11-03 19:03:16,1.17.2,Bandit100,10,4.14,,20,0,100,LeftinTimeOut,Right,10,12,10,10,,,
2025-11-03 19:03:21,1.17.2,Bandit100,10,4.14,,20,0,100,RightinTimeout,Right,10,12,10,10,,,0.0
2025-11-03 19:04:09,1.17.2,Bandit100,10,4.14,,20,0,100,Right,Right,10,13,10,10,,,0.01
2025-11-03 19:04:14,1.17.2,Bandit100,10,4.14,1.0,20,0,100,Pellet,Right,10,13,11,10,4.24,81.0,
2025-11-03 19:04:45,1.17.2,Bandit100,10,4.14,,20,0,100,Left,Right,11,13,11,11,,,0.19
2025-11-03 19:04:46,1.17.2,Bandit100,10,4.14,,20,0,100,LeftinTimeOut,Right,11,13,11,11,,,
2025-11-03 19:04:51,1.17.2,Bandit100,10,4.14,,20,0,100,RightinTimeout,Right,11,13,11,11,,,0.0
2025-11-03 19:04:51,1.17.2,Bandit100,10,4.14,,20,0,100,RightinTimeout,Right,11,13,11,11,,,0.0
2025-11-03 19:07:15,1.17.2,Bandit100,10,4.14,,20,0,100,Right,Right,11,14,11,11,,,0.05
2025-11-03 19:07:19,1.17.2,Bandit100,10,4.14,,20,0,100,RightWithPellet,Right,11,15,11,11,,,0.04
2025-11-03 19:07:26,1.17.2,Bandit100,10,4.14,1.0,20,0,100,Pellet,Right,11,15,12,11,10.14,192.0,
2025-11-03 19:07:42,1.17.2,Bandit100,10,4.14,,20,0,100,Right,Right,11,16,12,12,,,0.06
2025-11-03 19:07:46,1.17.2,Bandit100,10,4.14,1.0,20,0,100,Pellet,Right,11,16,13,12,4.0,20.0,
2025-11-03 19:08:10,1.17.2,Bandit100,10,4.14,,20,0,100,Left,Right,12,16,13,13,,,0.16
2025-11-03 19:08:12,1.17.2,Bandit100,10,4.14,,20,0,100,LeftinTimeOut,Right,12,16,13,13,,,
2025-11-03 19:09:05,1.17.2,Bandit100,10,4.14,,20,0,100,Right,Right,12,17,13,13,,,0.04
2025-11-03 19:09:16,1.17.2,Bandit100,10,4.14,1.0,20,0,100,Pellet,Right,12,17,14,13,10.23,90.0,
2025-11-03 19:14:17,1.17.2,Bandit100,10,4.14,,20,0,100,Left,Right,13,17,14,14,,,0.08
2025-11-03 19:17:27,1.17.2,Bandit100,10,4.14,,20,0,100,Left,Right,14,17,14,14,,,0.27
2025-11-03 19:20:19,1.17.2,Bandit100,10,4.14,,20,0,100,Right,Right,14,18,14,14,,,0.0
