MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-11-06 16:05:07,1.17.2,FR1,1,3.6,,1,Left,Left,1,0,0,0,,,0.09
2025-11-06 16:05:09,1.17.2,FR1,1,3.6,2.0,1,Pellet,Left,1,0,1,0,1.07,,
2025-11-06 16:05:50,1.17.2,FR1,1,3.6,,1,Right,Left,1,1,1,0,,,0.03
2025-11-06 16:06:17,1.17.2,FR1,1,3.6,,1,Right,Left,1,2,1,0,,,0.18
2025-11-06 16:08:17,1.17.2,FR1,1,3.6,,1,Right,Left,1,3,1,0,,,0.15
2025-11-06 16:08:52,1.17.2,FR1,1,3.6,,1,Right,Left,1,4,1,0,,,0.05
2025-11-06 16:09:03,1.17.2,FR1,1,3.6,,1,Right,Left,1,5,1,0,,,0.15
2025-11-06 16:09:08,1.17.2,FR1,1,3.6,,1,Right,Left,1,6,1,0,,,0.19
2025-11-06 16:09:12,1.17.2,FR1,1,3.6,,1,Right,Left,1,7,1,0,,,0.07
2025-11-06 16:09:15,1.17.2,FR1,1,3.6,,1,Right,Left,1,8,1,0,,,0.11
2025-11-06 16:09:16,1.17.2,FR1,1,3.6,,1,Right,Left,1,9,1,0,,,0.27
2025-11-06 16:09:30,1.17.2,FR1,1,3.6,,1,Right,Left,1,10,1,0,,,0.02
2025-11-06 16:09:45,1.17.2,FR1,1,3.6,,1,Left,Left,2,10,1,0,,,0.29
2025-11-06 16:09:47,1.17.2,FR1,1,3.6,2.0,1,Pellet,Left,2,10,2,0,0.95,277.0,
2025-11-06 16:09:55,1.17.2,FR1,1,3.6,,1,Left,Left,3,10,2,0,,,0.15
2025-11-06 16:09:56,1.17.2,FR1,1,3.6,,1,LeftDuringDispense,Left,4,10,2,0,,,0.16
2025-11-06 16:09:58,1.17.2,FR1,1,3.6,1.0,1,Pellet,Left,4,10,3,0,1.6,12.0,
2025-11-06 16:10:31,1.17.2,FR1,1,3.6,,1,Left,Left,5,10,3,0,,,0.34
2025-11-06 16:10:39,1.17.2,FR1,1,3.6,5.0,1,Pellet,Left,5,10,4,0,0.35,41.0,
2025-11-06 16:11:00,1.17.2,FR1,1,3.6,,1,Right,Left,5,11,4,0,,,0.17
2025-11-06 16:12:05,1.17.2,FR1,1,3.6,,1,Left,Left,6,11,4,0,,,0.22
2025-11-06 16:12:06,1.17.2,FR1,1,3.6,,1,LeftDuringDispense,Left,7,11,4,0,,,0.04
