MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/12/2025 16:42:46,1.17.2,PR1,15,4.02,nan,1,Left,Left,1,0,0,0,nan,nan,0.05
11/12/2025 16:42:47,1.17.2,PR1,15,4.02,1,1,Pellet,Left,1,0,1,1,0.23,nan,nan
11/12/2025 16:43:02,1.17.2,PR1,15,4.03,nan,2,Left,Left,2,0,1,1,nan,nan,0.22
11/12/2025 16:43:04,1.17.2,PR1,15,4.03,nan,2,Left,Left,3,0,1,1,nan,nan,0.21
11/12/2025 16:43:07,1.17.2,PR1,15,4.03,2,2,Pellet,Left,3,0,2,2,0.23,20,nan
11/12/2025 16:43:24,1.17.2,PR1,15,4.03,nan,3,Left,Left,4,0,2,2,nan,nan,0.19
11/12/2025 18:19:40,1.17.2,PR1,15,4.02,nan,1,Right,Left,4,1,2,0,nan,nan,0.47
11/12/2025 18:19:43,1.17.2,PR1,15,4.02,nan,1,Right,Left,4,2,2,0,nan,nan,0.67
11/12/2025 18:19:47,1.17.2,PR1,15,4.02,nan,1,Right,Left,4,3,2,0,nan,nan,0.15
11/12/2025 18:19:48,1.17.2,PR1,15,4.02,nan,1,Right,Left,4,4,2,0,nan,nan,0.00
11/12/2025 18:19:53,1.17.2,PR1,15,4.02,nan,1,Right,Left,4,5,2,0,nan,nan,0.30
11/12/2025 18:19:55,1.17.2,PR1,15,4.02,nan,1,Right,Left,4,6,2,0,nan,nan,0.60
11/12/2025 18:20:00,1.17.2,PR1,15,4.02,nan,1,Right,Left,4,7,2,0,nan,nan,0.95
11/12/2025 18:20:05,1.17.2,PR1,15,4.02,nan,1,Left,Left,5,7,2,0,nan,nan,0.09
11/12/2025 18:20:06,1.17.2,PR1,15,4.02,nan,1,LeftDuringDispense,Left,6,7,2,1,nan,nan,1.00
11/12/2025 18:20:12,1.17.2,PR1,15,4.02,nan,1,LeftWithPellet,Left,7,7,2,1,nan,nan,0.44
11/12/2025 18:20:20,1.17.2,PR1,15,4.02,nan,1,LeftWithPellet,Left,8,7,2,1,nan,nan,0.55
11/12/2025 18:20:23,1.17.2,PR1,15,4.02,nan,1,LeftWithPellet,Left,9,7,2,1,nan,nan,0.36
11/12/2025 18:20:25,1.17.2,PR1,15,4.02,2,1,Pellet,Left,9,7,3,1,16.22,5838,nan
11/12/2025 18:20:42,1.17.2,PR1,15,4.02,nan,2,Right,Left,9,8,3,1,nan,nan,0.13
11/12/2025 18:20:45,1.17.2,PR1,15,4.02,nan,2,Right,Left,9,9,3,1,nan,nan,0.10
11/12/2025 18:20:54,1.17.2,PR1,15,4.02,nan,2,Right,Left,9,10,3,1,nan,nan,0.07
11/12/2025 18:43:30,1.17.2,PR1,15,4.02,nan,2,Right,Left,9,11,3,1,nan,nan,0.32
11/12/2025 18:43:32,1.17.2,PR1,15,4.02,nan,2,Right,Left,9,12,3,1,nan,nan,0.33
11/12/2025 18:43:46,1.17.2,PR1,15,4.02,nan,2,Right,Left,9,13,3,1,nan,nan,0.73
11/12/2025 18:43:50,1.17.2,PR1,15,4.02,nan,2,Right,Left,9,14,3,1,nan,nan,0.33
11/12/2025 18:51:01,1.17.2,PR1,15,4.03,nan,1,Left,Left,10,14,3,0,nan,nan,0.09
11/12/2025 18:51:02,1.17.2,PR1,15,4.02,1,1,Pellet,Left,10,14,4,1,0.47,1837,nan
11/12/2025 18:51:29,1.17.2,PR1,15,4.02,nan,2,Left,Left,11,14,4,1,nan,nan,0.05
11/12/2025 18:51:31,1.17.2,PR1,15,4.02,nan,2,Left,Left,12,14,4,1,nan,nan,0.77
11/12/2025 18:51:32,1.17.2,PR1,15,4.03,1,2,Pellet,Left,12,14,5,2,0.17,30,nan
11/12/2025 18:51:47,1.17.2,PR1,15,4.02,nan,3,Left,Left,13,14,5,2,nan,nan,0.15
11/12/2025 19:04:54,1.17.2,PR1,15,4.03,nan,3,Left,Left,14,14,5,2,nan,nan,1.27
11/12/2025 19:04:57,1.17.2,PR1,15,4.02,nan,3,Left,Left,15,14,5,2,nan,nan,0.33
11/12/2025 19:04:58,1.17.2,PR1,15,4.02,1,3,Pellet,Left,15,14,6,3,0.41,806,nan
11/12/2025 19:05:14,1.17.2,PR1,15,4.02,nan,4,Left,Left,16,14,6,3,nan,nan,0.09
11/12/2025 19:05:16,1.17.2,PR1,15,4.02,nan,4,Left,Left,17,14,6,3,nan,nan,0.22
11/12/2025 19:05:20,1.17.2,PR1,15,4.02,nan,4,Left,Left,18,14,6,3,nan,nan,0.79
11/12/2025 19:05:23,1.17.2,PR1,15,4.02,nan,4,Left,Left,19,14,6,3,nan,nan,0.36
11/12/2025 19:05:24,1.17.2,PR1,15,4.02,1,4,Pellet,Left,19,14,7,4,0.23,26,nan
11/12/2025 19:05:40,1.17.2,PR1,15,4.02,nan,5,Left,Left,20,14,7,4,nan,nan,0.08
11/12/2025 19:05:43,1.17.2,PR1,15,4.02,nan,5,Left,Left,21,14,7,4,nan,nan,0.25
11/12/2025 19:05:49,1.17.2,PR1,15,4.02,nan,5,Right,Left,21,15,7,4,nan,nan,0.07
11/12/2025 19:05:54,1.17.2,PR1,15,4.02,nan,5,Right,Left,21,16,7,4,nan,nan,0.34
11/12/2025 19:06:00,1.17.2,PR1,15,4.02,nan,5,Left,Left,22,16,7,4,nan,nan,0.51
11/12/2025 19:21:50,1.17.2,PR1,15,4.02,nan,5,Left,Left,23,16,7,4,nan,nan,0.03
11/12/2025 19:21:56,1.17.2,PR1,15,4.02,nan,5,Right,Left,23,17,7,4,nan,nan,0.84
11/12/2025 19:22:03,1.17.2,PR1,15,4.02,nan,5,Right,Left,23,18,7,4,nan,nan,0.06
11/12/2025 19:22:06,1.17.2,PR1,15,4.02,nan,5,Right,Left,23,19,7,4,nan,nan,1.07
11/12/2025 19:22:08,1.17.2,PR1,15,4.02,nan,5,Right,Left,23,20,7,4,nan,nan,0.53
11/12/2025 19:22:11,1.17.2,PR1,15,4.02,nan,5,Right,Left,23,21,7,4,nan,nan,0.52
11/12/2025 19:22:13,1.17.2,PR1,15,4.02,nan,5,Right,Left,23,22,7,4,nan,nan,0.57
11/12/2025 19:22:19,1.17.2,PR1,15,4.02,nan,5,Left,Left,24,22,7,4,nan,nan,1.15
11/12/2025 19:22:20,1.17.2,PR1,15,4.02,1,5,Pellet,Left,24,22,8,5,0.29,1016,nan
11/12/2025 19:22:32,1.17.2,PR1,15,4.02,nan,6,Left,Left,25,22,8,5,nan,nan,0.05
11/12/2025 19:22:35,1.17.2,PR1,15,4.02,nan,6,Left,Left,26,22,8,5,nan,nan,0.67
11/12/2025 19:22:37,1.17.2,PR1,15,4.02,nan,6,Left,Left,27,22,8,5,nan,nan,0.63
11/12/2025 19:22:39,1.17.2,PR1,15,4.02,nan,6,Left,Left,28,22,8,5,nan,nan,0.70
11/12/2025 19:23:02,1.17.2,PR1,15,4.02,nan,6,Right,Left,28,23,8,5,nan,nan,0.52
11/12/2025 19:26:30,1.17.2,PR1,15,4.02,nan,6,Right,Left,28,24,8,5,nan,nan,0.64
11/12/2025 19:37:18,1.17.2,PR1,15,4.02,nan,6,Right,Left,28,25,8,5,nan,nan,0.38
11/12/2025 19:37:20,1.17.2,PR1,15,4.02,nan,6,Right,Left,28,26,8,5,nan,nan,0.37
11/12/2025 19:37:21,1.17.2,PR1,15,4.02,nan,6,Right,Left,28,27,8,5,nan,nan,0.14
11/12/2025 19:37:33,1.17.2,PR1,15,4.02,nan,6,Left,Left,29,27,8,5,nan,nan,0.30
11/12/2025 19:37:35,1.17.2,PR1,15,4.02,nan,6,Left,Left,30,27,8,5,nan,nan,0.26
11/12/2025 19:37:36,1.17.2,PR1,15,4.02,1,6,Pellet,Left,30,27,9,6,0.59,916,nan
11/12/2025 19:37:47,1.17.2,PR1,15,4.02,nan,7,Left,Left,31,27,9,6,nan,nan,0.15
11/12/2025 19:37:51,1.17.2,PR1,15,4.02,nan,7,Left,Left,32,27,9,6,nan,nan,0.41
11/12/2025 19:37:53,1.17.2,PR1,15,4.02,nan,7,Left,Left,33,27,9,6,nan,nan,0.16
11/12/2025 19:37:54,1.17.2,PR1,15,4.02,nan,7,Left,Left,34,27,9,6,nan,nan,0.05
11/12/2025 19:38:43,1.17.2,PR1,15,4.02,nan,7,Left,Left,35,27,9,6,nan,nan,0.05
11/12/2025 19:38:46,1.17.2,PR1,15,4.02,nan,7,Left,Left,36,27,9,6,nan,nan,0.44
11/12/2025 19:38:51,1.17.2,PR1,15,4.02,nan,7,Right,Left,36,28,9,6,nan,nan,0.01
11/12/2025 19:38:53,1.17.2,PR1,15,4.02,nan,7,Right,Left,36,29,9,6,nan,nan,1.21
11/12/2025 19:38:58,1.17.2,PR1,15,4.02,nan,7,Left,Left,37,29,9,6,nan,nan,0.76
11/12/2025 19:38:58,1.17.2,PR1,15,4.02,nan,7,LeftDuringDispense,Left,38,29,9,7,nan,nan,0.14
