MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-11-12 16:34:50,1.17.2,PR1,18,4.03,,1,Left,Left,1,0,0,0,,,0.0
2025-11-12 16:36:52,1.17.2,PR1,18,4.03,,1,LeftWithPellet,Left,2,0,0,1,,,0.49
2025-11-12 16:37:31,1.17.2,PR1,18,4.03,,1,RightWithPellet,Left,2,1,0,1,,,0.12
2025-11-12 16:39:10,1.17.2,PR1,18,4.03,,1,LeftWithPellet,Left,3,1,0,1,,,0.14
2025-11-12 16:39:34,1.17.2,PR1,18,4.03,,1,RightWithPellet,Left,3,2,0,1,,,0.2
2025-11-12 16:39:37,1.17.2,PR1,18,4.03,,1,RightWithPellet,Left,3,3,0,1,,,0.09
2025-11-12 16:44:27,1.17.2,PR1,18,4.02,,1,RightWithPellet,Left,3,4,0,1,,,0.07
2025-11-12 16:44:53,1.17.2,PR1,18,4.03,,1,LeftWithPellet,Left,4,4,0,1,,,0.03
2025-11-12 16:44:55,1.17.2,PR1,18,4.03,,1,LeftWithPellet,Left,5,4,0,1,,,0.62
2025-11-12 16:45:00,1.17.2,PR1,18,4.03,,1,LeftWithPellet,Left,6,4,0,1,,,0.29
2025-11-12 16:51:39,1.17.2,PR1,18,4.03,1.0,1,Pellet,Left,6,4,1,1,,,
2025-11-12 17:02:01,1.17.2,PR1,18,4.03,,2,Right,Left,6,5,1,1,,,0.1
2025-11-12 17:02:03,1.17.2,PR1,18,4.02,,2,Right,Left,6,6,1,1,,,0.16
2025-11-12 17:06:14,1.17.2,PR1,18,4.03,,1,Left,Left,7,6,1,0,,,0.31
2025-11-12 17:06:16,1.17.2,PR1,18,4.03,1.0,1,Pellet,Left,7,6,2,1,1.01,877.0,
2025-11-12 17:06:29,1.17.2,PR1,18,4.03,,2,Left,Left,8,6,2,1,,,0.05
2025-11-12 17:09:40,1.17.2,PR1,18,4.03,,2,Right,Left,8,7,2,1,,,0.08
2025-11-12 17:58:56,1.17.2,PR1,18,4.03,,1,Right,Left,8,8,2,0,,,0.23
2025-11-12 17:59:01,1.17.2,PR1,18,4.02,,1,Right,Left,8,9,2,0,,,0.27
2025-11-12 17:59:03,1.17.2,PR1,18,4.03,,1,Right,Left,8,10,2,0,,,0.51
2025-11-12 17:59:06,1.17.2,PR1,18,4.03,,1,Right,Left,8,11,2,0,,,0.6
2025-11-12 17:59:09,1.17.2,PR1,18,4.02,,1,Right,Left,8,12,2,0,,,0.21
2025-11-12 17:59:11,1.17.2,PR1,18,4.03,,1,Right,Left,8,13,2,0,,,0.46
2025-11-12 17:59:13,1.17.2,PR1,18,4.02,,1,Right,Left,8,14,2,0,,,0.35
2025-11-12 17:59:17,1.17.2,PR1,18,4.03,,1,Left,Left,9,14,2,0,,,0.95
2025-11-12 17:59:17,1.17.2,PR1,18,4.03,,1,LeftDuringDispense,Left,10,14,2,1,,,0.14
2025-11-12 17:59:20,1.17.2,PR1,18,4.02,,1,LeftDuringDispense,Left,11,14,2,1,,,0.2
2025-11-12 17:59:20,1.17.2,PR1,18,4.02,,1,LeftDuringDispense,Left,12,14,2,1,,,0.18
2025-11-12 17:59:22,1.17.2,PR1,18,4.02,,1,LeftDuringDispense,Left,13,14,2,1,,,1.09
2025-11-12 17:59:24,1.17.2,PR1,18,4.02,,1,LeftDuringDispense,Left,14,14,2,1,,,0.2
2025-11-12 17:59:28,1.17.2,PR1,18,4.03,4.0,1,Pellet,Left,14,14,3,1,1.13,3192.0,
2025-11-12 17:59:43,1.17.2,PR1,18,4.02,,2,Left,Left,15,14,3,1,,,0.8
2025-11-12 17:59:45,1.17.2,PR1,18,4.03,,2,Left,Left,16,14,3,1,,,0.3
2025-11-12 17:59:46,1.17.2,PR1,18,4.03,1.0,2,Pellet,Left,16,14,4,2,0.23,18.0,
2025-11-12 17:59:54,1.17.2,PR1,18,4.03,,3,Left,Left,17,14,4,2,,,0.02
2025-11-12 17:59:55,1.17.2,PR1,18,4.03,,3,Left,Left,18,14,4,2,,,0.17
2025-11-12 17:59:57,1.17.2,PR1,18,4.02,,3,Left,Left,19,14,4,2,,,0.19
2025-11-12 17:59:58,1.17.2,PR1,18,4.03,1.0,3,Pellet,Left,19,14,5,3,0.17,12.0,
2025-11-12 18:00:06,1.17.2,PR1,18,4.03,,4,Right,Left,19,15,5,3,,,0.05
2025-11-12 18:00:08,1.17.2,PR1,18,4.03,,4,Right,Left,19,16,5,3,,,0.23
2025-11-12 18:00:10,1.17.2,PR1,18,4.03,,4,Right,Left,19,17,5,3,,,0.56
2025-11-12 18:00:12,1.17.2,PR1,18,4.02,,4,Right,Left,19,18,5,3,,,0.25
2025-11-12 18:00:13,1.17.2,PR1,18,4.03,,4,Right,Left,19,19,5,3,,,0.06
2025-11-12 18:00:14,1.17.2,PR1,18,4.03,,4,Right,Left,19,20,5,3,,,0.14
2025-11-12 18:00:15,1.17.2,PR1,18,4.03,,4,Right,Left,19,21,5,3,,,0.24
2025-11-12 18:00:22,1.17.2,PR1,18,4.02,,4,Right,Left,19,22,5,3,,,0.0
2025-11-12 18:00:23,1.17.2,PR1,18,4.03,,4,Right,Left,19,23,5,3,,,0.27
2025-11-12 18:01:04,1.17.2,PR1,18,4.03,,4,Left,Left,20,23,5,3,,,0.15
2025-11-12 18:15:06,1.17.2,PR1,18,4.03,,4,Left,Left,21,23,5,3,,,0.21
2025-11-12 18:15:08,1.17.2,PR1,18,4.02,,4,Right,Left,21,24,5,3,,,0.13
2025-11-12 18:15:10,1.17.2,PR1,18,4.03,,4,Right,Left,21,25,5,3,,,0.23
