MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-11-03 17:24:57,1.17.2,Bandit100,3,3.76,,20,0,100,Right,Right,0,1,0,0,,,0.23
2025-11-03 17:27:38,1.17.2,Bandit100,3,3.76,4.0,20,0,100,Pellet,Right,0,1,1,0,Timed_out,,
2025-11-03 17:30:01,1.17.2,Bandit100,3,3.76,,20,0,100,Right,Right,0,2,1,1,,,0.02
2025-11-03 17:30:05,1.17.2,Bandit100,3,3.77,1.0,20,0,100,Pellet,Right,0,2,2,1,3.10,147.0,
2025-11-03 17:30:40,1.17.2,Bandit100,3,3.77,,20,0,100,Left,Right,1,2,2,2,,,0.04
2025-11-03 17:31:59,1.17.2,Bandit100,3,3.77,,20,0,100,Left,Right,2,2,2,2,,,0.21
2025-11-03 17:57:50,1.17.2,Bandit100,3,3.77,,20,0,100,Left,Right,3,2,2,2,,,0.42
2025-11-03 18:20:52,1.17.2,Bandit100,3,3.76,,20,0,100,Right,Right,3,3,2,2,,,0.27
2025-11-03 18:34:22,1.17.2,Bandit100,3,3.76,1.0,20,0,100,Pellet,Right,3,3,3,2,Timed_out,3857.0,
2025-11-03 18:42:01,1.17.2,Bandit100,3,3.76,,20,0,100,Left,Right,4,3,3,3,,,0.25
2025-11-03 19:07:56,1.17.2,Bandit100,3,3.76,,20,0,100,Right,Right,4,4,3,3,,,0.03
2025-11-03 19:08:17,1.17.2,Bandit100,3,3.76,1.0,20,0,100,Pellet,Right,4,4,4,3,21.03,2035.0,
2025-11-03 19:08:55,1.17.2,Bandit100,3,3.76,,20,0,100,Left,Right,5,4,4,4,,,0.22
2025-11-03 19:09:15,1.17.2,Bandit100,3,3.76,,20,0,100,Right,Right,5,5,4,4,,,0.05
2025-11-03 19:09:23,1.17.2,Bandit100,3,3.76,1.0,20,0,100,Pellet,Right,5,5,5,4,7.66,66.0,
2025-11-03 19:09:47,1.17.2,Bandit100,3,3.76,,20,0,100,Right,Right,5,6,5,5,,,0.29
2025-11-03 19:10:02,1.17.2,Bandit100,3,3.76,2.0,20,0,100,Pellet,Right,5,6,6,5,11.86,39.0,
2025-11-03 19:12:51,1.17.2,Bandit100,3,3.76,,20,0,100,Right,Right,5,7,6,6,,,0.08
2025-11-03 19:12:52,1.17.2,Bandit100,3,3.76,,20,0,100,RightDuringDispense,Right,5,7,6,6,,,0.02
2025-11-03 19:12:58,1.17.2,Bandit100,3,3.76,,20,0,100,LeftWithPellet,Right,5,7,6,6,,,0.16
2025-11-03 19:13:00,1.17.2,Bandit100,3,3.76,3.0,20,0,100,Pellet,Right,5,7,7,6,3.73,178.0,
2025-11-03 19:14:19,1.17.2,Bandit100,3,3.76,,20,0,100,Right,Right,5,8,7,7,,,0.0
2025-11-03 19:14:24,1.17.2,Bandit100,3,3.76,1.0,20,0,100,Pellet,Right,5,8,8,7,3.94,84.0,
2025-11-03 19:20:50,1.17.2,Bandit100,3,3.76,,20,0,100,Left,Right,6,8,8,8,,,0.3
2025-11-03 19:27:20,1.17.2,Bandit100,3,3.76,,20,0,100,Right,Right,6,9,8,8,,,0.06
2025-11-03 19:27:27,1.17.2,Bandit100,3,3.76,1.0,20,0,100,Pellet,Right,6,9,9,8,6.34,783.0,
2025-11-03 19:27:54,1.17.2,Bandit100,3,3.77,,20,0,100,Left,Right,7,9,9,9,,,0.04
2025-11-03 19:31:26,1.17.2,Bandit100,3,3.76,,20,0,100,Right,Right,7,10,9,9,,,0.22
2025-11-03 19:31:31,1.17.2,Bandit100,3,3.76,1.0,20,0,100,Pellet,Right,7,10,10,9,3.64,244.0,
2025-11-03 19:32:25,1.17.2,Bandit100,3,3.76,,20,0,100,Right,Right,7,11,10,10,,,0.08
2025-11-03 19:32:32,1.17.2,Bandit100,3,3.76,1.0,20,0,100,Pellet,Right,7,11,11,10,5.92,61.0,
2025-11-03 19:34:06,1.17.2,Bandit100,3,3.76,,20,0,100,Right,Right,7,12,11,11,,,0.05
2025-11-03 19:34:15,1.17.2,Bandit100,3,3.76,2.0,20,0,100,Pellet,Right,7,12,12,11,5.92,103.0,
