MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/3/2025 18:21:57,1.17.2,Bandit100,14,4.07,nan,20,0,100,Right,Right,0,1,0,0,nan,nan,0.35
11/3/2025 18:24:03,1.17.2,Bandit100,14,4.07,3,20,0,100,Pellet,Right,0,1,1,0,Timed_out,nan,nan
11/3/2025 18:41:06,1.17.2,Bandit100,14,4.07,nan,20,0,100,Right,Right,0,2,1,1,nan,nan,0.02
11/3/2025 18:41:06,1.17.2,Bandit100,14,4.07,nan,20,0,100,RightDuringDispense,Right,0,2,1,1,nan,nan,0.00
11/3/2025 18:41:07,1.17.2,Bandit100,14,4.07,nan,20,0,100,RightDuringDispense,Right,0,2,1,1,nan,nan,0.12
11/3/2025 18:41:07,1.17.2,Bandit100,14,4.07,nan,20,0,100,RightDuringDispense,Right,0,2,1,1,nan,nan,0.01
11/3/2025 18:41:08,1.17.2,Bandit100,14,4.07,nan,20,0,100,RightDuringDispense,Right,0,2,1,1,nan,nan,0.56
11/3/2025 18:43:48,1.17.2,Bandit100,14,4.07,3,20,0,100,Pellet,Right,0,2,2,1,Timed_out,1185,nan
11/3/2025 18:44:12,1.17.2,Bandit100,14,4.07,nan,20,0,100,Left,Right,1,2,2,2,nan,nan,0.64
11/3/2025 18:44:12,1.17.2,Bandit100,14,4.07,nan,20,0,100,LeftinTimeOut,Right,1,2,2,2,nan,nan,nan
11/3/2025 18:45:33,1.17.2,Bandit100,14,4.07,nan,20,0,100,Right,Right,1,3,2,2,nan,nan,0.05
11/3/2025 18:45:33,1.17.2,Bandit100,14,4.07,nan,20,0,100,RightDuringDispense,Right,1,3,2,2,nan,nan,0.02
11/3/2025 18:45:39,1.17.2,Bandit100,14,4.07,2,20,0,100,Pellet,Right,1,3,3,2,3.04,111,nan
11/3/2025 19:09:07,1.17.2,Bandit100,14,4.07,nan,20,0,100,Left,Right,2,3,3,3,nan,nan,0.01
11/3/2025 19:09:07,1.17.2,Bandit100,14,4.07,nan,20,0,100,LeftinTimeOut,Right,2,3,3,3,nan,nan,nan
11/3/2025 20:43:31,1.17.2,Bandit100,14,4.07,nan,20,0,100,Left,Right,3,3,3,3,nan,nan,0.13
11/3/2025 21:31:54,1.17.2,Bandit100,14,4.07,nan,20,0,100,Left,Right,4,3,3,3,nan,nan,0.27
11/3/2025 22:07:14,1.17.2,Bandit100,14,4.07,nan,20,0,100,Right,Right,4,4,3,3,nan,nan,0.00
11/3/2025 22:07:36,1.17.2,Bandit100,14,4.07,1,20,0,100,Pellet,Right,4,4,4,3,21.21,12117,nan
11/3/2025 22:08:37,1.17.2,Bandit100,14,4.06,nan,20,0,100,Left,Right,5,4,4,4,nan,nan,0.34
11/3/2025 22:08:38,1.17.2,Bandit100,14,4.06,nan,20,0,100,LeftinTimeOut,Right,5,4,4,4,nan,nan,nan
11/3/2025 22:09:11,1.17.2,Bandit100,14,4.06,nan,20,0,100,Right,Right,5,5,4,4,nan,nan,0.03
11/3/2025 22:09:18,1.17.2,Bandit100,14,4.06,1,20,0,100,Pellet,Right,5,5,5,4,6.22,102,nan
11/3/2025 22:09:50,1.17.2,Bandit100,14,4.07,nan,20,0,100,Right,Right,5,6,5,5,nan,nan,0.01
11/3/2025 22:10:27,1.17.2,Bandit100,14,4.06,1,20,0,100,Pellet,Right,5,6,6,5,36.49,69,nan
11/3/2025 22:13:32,1.17.2,Bandit100,14,4.06,nan,20,0,100,Right,Right,5,7,6,6,nan,nan,0.70
11/3/2025 22:13:45,1.17.2,Bandit100,14,4.06,1,20,0,100,Pellet,Right,5,7,7,6,12.33,198,nan
11/3/2025 22:14:36,1.17.2,Bandit100,14,4.07,nan,20,0,100,Right,Right,5,8,7,7,nan,nan,0.02
11/3/2025 22:14:42,1.17.2,Bandit100,14,4.06,1,20,0,100,Pellet,Right,5,8,8,7,4.72,57,nan
11/3/2025 22:15:10,1.17.2,Bandit100,14,4.06,nan,20,0,100,Right,Right,5,9,8,8,nan,nan,0.08
11/3/2025 22:15:29,1.17.2,Bandit100,14,4.06,1,20,0,100,Pellet,Right,5,9,9,8,18.57,47,nan
11/3/2025 22:16:42,1.17.2,Bandit100,14,4.06,nan,20,0,100,Left,Right,6,9,9,9,nan,nan,0.10
11/3/2025 22:19:53,1.17.2,Bandit100,14,4.06,nan,20,0,100,Left,Right,7,9,9,9,nan,nan,0.00
11/3/2025 22:22:14,1.17.2,Bandit100,14,4.06,nan,20,0,100,Left,Right,8,9,9,9,nan,nan,0.18
11/3/2025 22:23:07,1.17.2,Bandit100,14,4.07,nan,20,0,100,Right,Right,8,10,9,9,nan,nan,0.00
11/3/2025 22:24:02,1.17.2,Bandit100,14,4.06,1,20,0,100,Pellet,Right,8,10,10,9,54.94,513,nan
11/3/2025 22:36:16,1.17.2,Bandit100,14,4.04,nan,20,0,100,Left,Right,9,10,10,10,nan,nan,0.73
11/3/2025 22:37:00,1.17.2,Bandit100,14,4.06,nan,20,0,100,Left,Right,10,10,10,10,nan,nan,0.57
11/3/2025 22:38:38,1.17.2,Bandit100,14,4.06,nan,20,0,100,Left,Right,11,10,10,10,nan,nan,0.14
11/3/2025 22:42:02,1.17.2,Bandit100,14,4.06,nan,20,0,100,Left,Right,12,10,10,10,nan,nan,0.06
11/3/2025 22:42:03,1.17.2,Bandit100,14,4.06,nan,20,0,100,LeftinTimeOut,Right,12,10,10,10,nan,nan,nan
11/3/2025 22:44:08,1.17.2,Bandit100,14,4.06,nan,20,0,100,Left,Right,13,10,10,10,nan,nan,0.31
11/3/2025 22:44:39,1.17.2,Bandit100,14,4.06,nan,20,0,100,Left,Right,14,10,10,10,nan,nan,0.21
11/3/2025 22:53:28,1.17.2,Bandit100,14,4.06,nan,20,0,100,Left,Right,15,10,10,10,nan,nan,0.15
11/3/2025 22:53:29,1.17.2,Bandit100,14,4.06,nan,20,0,100,LeftinTimeOut,Right,15,10,10,10,nan,nan,nan
11/3/2025 23:12:48,1.17.2,Bandit100,14,4.06,nan,20,0,100,Left,Right,16,10,10,10,nan,nan,0.03
11/3/2025 23:13:55,1.17.2,Bandit100,14,4.06,nan,20,0,100,Right,Right,16,11,10,10,nan,nan,0.81
11/3/2025 23:13:56,1.17.2,Bandit100,14,4.05,nan,20,0,100,RightDuringDispense,Right,16,11,10,10,nan,nan,0.27
11/3/2025 23:14:03,1.17.2,Bandit100,14,4.05,2,20,0,100,Pellet,Right,16,11,11,10,4.60,3001,nan
11/3/2025 23:14:31,1.17.2,Bandit100,14,4.06,nan,20,0,100,Right,Right,16,12,11,11,nan,nan,0.23
11/3/2025 23:14:39,1.17.2,Bandit100,14,4.06,1,20,0,100,Pellet,Right,16,12,12,11,6.34,35,nan
11/3/2025 23:16:22,1.17.2,Bandit100,14,4.06,nan,20,0,100,Right,Right,16,13,12,12,nan,nan,0.17
11/3/2025 23:16:26,1.17.2,Bandit100,14,4.06,1,20,0,100,Pellet,Right,16,13,13,12,2.87,108,nan
11/3/2025 23:17:08,1.17.2,Bandit100,14,4.05,nan,20,0,100,Left,Right,17,13,13,13,nan,nan,0.34
11/3/2025 23:18:50,1.17.2,Bandit100,14,4.06,nan,20,0,100,Left,Right,18,13,13,13,nan,nan,0.03
11/3/2025 23:18:50,1.17.2,Bandit100,14,4.06,nan,20,0,100,LeftinTimeOut,Right,18,13,13,13,nan,nan,nan
11/3/2025 23:21:25,1.17.2,Bandit100,14,4.06,nan,20,0,100,Right,Right,18,14,13,13,nan,nan,0.83
11/3/2025 23:21:30,1.17.2,Bandit100,14,4.06,1,20,0,100,Pellet,Right,18,14,14,13,3.64,304,nan
11/3/2025 23:22:50,1.17.2,Bandit100,14,4.06,nan,20,0,100,Right,Right,18,15,14,14,nan,nan,0.02
11/3/2025 23:22:54,1.17.2,Bandit100,14,4.06,1,20,0,100,Pellet,Right,18,15,15,14,3.23,84,nan
11/3/2025 23:41:54,1.17.2,Bandit100,14,4.06,nan,20,0,100,Right,Right,18,16,15,15,nan,nan,0.00
11/3/2025 23:41:54,1.17.2,Bandit100,14,4.06,nan,20,0,100,RightDuringDispense,Right,18,16,15,15,nan,nan,0.09
11/3/2025 23:42:02,1.17.2,Bandit100,14,4.05,2,20,0,100,Pellet,Right,18,16,16,15,4.72,1148,nan
11/3/2025 23:43:36,1.17.2,Bandit100,14,4.06,nan,20,0,100,Right,Right,18,17,16,16,nan,nan,0.02
11/3/2025 23:43:41,1.17.2,Bandit100,14,4.06,1,20,0,100,Pellet,Right,18,17,17,16,4.66,99,nan
11/3/2025 23:48:41,1.17.2,Bandit100,14,4.06,nan,20,0,100,Left,Right,19,17,17,17,nan,nan,0.34
11/3/2025 23:51:10,1.17.2,Bandit100,14,4.06,nan,20,0,100,Left,Right,20,17,17,17,nan,nan,0.26
11/3/2025 23:51:56,1.17.2,Bandit100,14,4.06,nan,20,0,100,Left,Right,21,17,17,17,nan,nan,0.05
11/3/2025 23:52:10,1.17.2,Bandit100,14,4.06,nan,20,0,100,Right,Right,21,18,17,17,nan,nan,0.40
11/3/2025 23:52:11,1.17.2,Bandit100,14,4.06,1,20,0,100,Pellet,Right,21,18,18,17,0.06,510,nan
11/3/2025 23:53:51,1.17.2,Bandit100,14,4.06,nan,20,0,100,Left,Right,22,18,18,18,nan,nan,0.22
11/4/2025 0:04:59,1.17.2,Bandit100,14,4.06,nan,20,0,100,Left,Right,23,18,18,18,nan,nan,0.42
11/4/2025 0:05:19,1.17.2,Bandit100,14,4.06,nan,20,0,100,Right,Right,23,19,18,18,nan,nan,0.06
11/4/2025 0:05:27,1.17.2,Bandit100,14,4.06,1,20,0,100,Pellet,Right,23,19,19,18,6.76,795,nan
11/4/2025 0:06:59,1.17.2,Bandit100,14,4.06,nan,20,0,100,Right,Right,23,20,19,19,nan,nan,0.16
11/4/2025 0:07:02,1.17.2,Bandit100,14,4.06,1,20,0,100,Pellet,Right,23,20,20,19,2.39,96,nan
11/4/2025 0:07:27,1.17.2,Bandit100,14,4.06,nan,20,100,0,Right,Left,23,21,20,0,nan,nan,0.00
