MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/7/2025 18:03:34,1.17.2,FreeFeed,2,4.09,2,1,Pellet,Left,0,0,1,0,Timed_out,nan,nan
11/7/2025 18:04:04,1.17.2,FreeFeed,2,4.10,1,1,Pellet,Left,0,0,2,0,17.81,30,nan
11/7/2025 18:04:16,1.17.2,FreeFeed,2,4.09,1,1,Pellet,Left,0,0,3,0,0.60,12,nan
11/7/2025 18:04:32,1.17.2,FreeFeed,2,4.09,nan,1,LeftWithPellet,Left,1,0,3,0,nan,nan,0.54
11/7/2025 18:04:34,1.17.2,FreeFeed,2,4.09,2,1,Pellet,Left,1,0,4,0,4.16,18,nan
11/7/2025 18:05:06,1.17.2,FreeFeed,2,4.09,3,1,Pellet,Left,1,0,5,0,15.81,32,nan
11/7/2025 18:05:13,1.17.2,FreeFeed,2,4.10,nan,1,LeftDuringDispense,Left,2,0,5,0,nan,nan,0.18
11/7/2025 18:05:18,1.17.2,FreeFeed,2,4.09,2,1,Pellet,Left,2,0,6,0,1.83,12,nan
11/7/2025 18:05:29,1.17.2,FreeFeed,2,4.09,nan,1,LeftDuringDispense,Left,3,0,6,0,nan,nan,0.13
11/7/2025 18:05:32,1.17.2,FreeFeed,2,4.09,2,1,Pellet,Left,3,0,7,0,0.49,14,nan
11/7/2025 18:05:47,1.17.2,FreeFeed,2,4.09,1,1,Pellet,Left,3,0,8,0,2.94,15,nan
11/7/2025 18:05:59,1.17.2,FreeFeed,2,4.09,1,1,Pellet,Left,3,0,9,0,0.66,12,nan
11/7/2025 18:06:12,1.17.2,FreeFeed,2,4.10,1,1,Pellet,Left,3,0,10,0,1.16,13,nan
11/7/2025 18:06:52,1.17.2,FreeFeed,2,4.09,1,1,Pellet,Left,3,0,11,0,28.44,40,nan
11/7/2025 18:07:00,1.17.2,FreeFeed,2,4.09,nan,1,RightDuringDispense,Left,3,1,11,0,nan,nan,0.07
11/7/2025 18:07:04,1.17.2,FreeFeed,2,4.09,2,1,Pellet,Left,3,1,12,0,0.49,12,nan
11/7/2025 18:07:18,1.17.2,FreeFeed,2,4.09,1,1,Pellet,Left,3,1,13,0,1.99,14,nan
11/7/2025 18:07:40,1.17.2,FreeFeed,2,4.09,1,1,Pellet,Left,3,1,14,0,10.29,22,nan
11/7/2025 18:07:57,1.17.2,FreeFeed,2,4.09,1,1,Pellet,Left,3,1,15,0,4.66,16,nan
11/7/2025 18:08:08,1.17.2,FreeFeed,2,4.09,1,1,Pellet,Left,3,1,16,0,0.66,12,nan
11/7/2025 18:08:37,1.17.2,FreeFeed,2,4.09,2,1,Pellet,Left,3,1,17,0,14.75,28,nan
11/7/2025 18:08:49,1.17.2,FreeFeed,2,4.10,1,1,Pellet,Left,3,1,18,0,1.49,13,nan
11/7/2025 18:09:01,1.17.2,FreeFeed,2,4.09,1,1,Pellet,Left,3,1,19,0,0.33,12,nan
11/7/2025 18:09:47,1.17.2,FreeFeed,2,4.10,1,1,Pellet,Left,3,1,20,0,34.54,46,nan
11/7/2025 18:10:18,1.17.2,FreeFeed,2,4.10,1,1,Pellet,Left,3,1,21,0,19.28,31,nan
