datetime,millis,device_id,library_version,battery_voltage,temperature_c,pressure_hpa,humidity_percent,lux,activity_count,activity_percent,inactivity_period_s,inactivity_count,inactivity_percent,min_free_heap,reboot
2025-11-15 00:02:50,3717,002,2.1.0,4.050,23.01,989.21,66.35,0.0000,147,0.244,40,5,0.576,265028,0
2025-11-15 00:12:52,3722,002,2.1.0,4.051,23.00,989.21,66.14,0.0000,63,0.105,40,10,0.864,265028,0
2025-11-15 00:22:56,3717,002,2.1.0,4.051,22.93,989.10,65.62,0.0000,12,0.020,40,14,0.979,265028,0
2025-11-15 00:32:59,3722,002,2.1.0,4.052,22.90,988.73,64.77,0.0000,1,0.002,40,14,0.998,265028,0
2025-11-15 00:43:02,3722,002,2.1.0,4.051,22.93,988.42,65.88,0.0000,13,0.022,40,13,0.976,265028,0
2025-11-15 00:53:04,3717,002,2.1.0,4.051,22.98,988.50,67.67,0.0000,106,0.176,40,7,0.725,265028,0
2025-11-15 01:03:07,3717,002,2.1.0,4.051,22.93,988.70,65.76,0.0000,0,0.000,40,14,1.000,265028,0
2025-11-15 01:13:11,3721,002,2.1.0,4.050,22.91,988.64,65.23,0.0000,0,0.000,40,14,1.000,265028,0
2025-11-15 01:23:14,3722,002,2.1.0,4.050,22.92,988.55,64.98,0.0000,16,0.027,40,12,0.968,265028,0
2025-11-15 01:33:17,3717,002,2.1.0,4.051,22.92,988.51,65.07,0.0000,11,0.018,40,13,0.979,265028,0
2025-11-15 01:43:19,3717,002,2.1.0,4.051,22.90,988.38,65.45,0.0000,0,0.000,40,14,1.000,265028,0
2025-11-15 01:53:22,3721,002,2.1.0,4.050,22.94,988.36,65.86,0.0000,89,0.148,40,8,0.782,265028,0
2025-11-15 02:03:26,3718,002,2.1.0,4.052,23.02,988.41,65.22,0.0000,51,0.085,40,11,0.896,265028,0
2025-11-15 02:13:28,3717,002,2.1.0,4.049,22.98,988.06,64.54,0.0000,0,0.000,40,14,1.000,265028,0
2025-11-15 02:23:31,3721,002,2.1.0,4.049,22.98,987.85,64.96,0.0000,16,0.027,40,12,0.968,265028,0
2025-11-15 02:33:34,3729,002,2.1.0,4.050,23.13,987.90,65.71,0.0000,283,0.472,40,0,0.000,265028,0
2025-11-15 02:44:33,3721,002,2.1.0,4.050,23.35,987.84,64.03,0.0000,207,0.347,40,2,0.279,265028,0
2025-11-15 02:54:36,3717,002,2.1.0,4.050,23.26,987.74,63.48,0.0000,0,0.000,40,14,1.000,265028,0
2025-11-15 03:04:39,3721,002,2.1.0,4.049,23.18,987.65,63.56,0.0000,12,0.020,40,12,0.976,265028,0
2025-11-15 03:14:42,3721,002,2.1.0,4.049,23.14,987.64,63.61,0.0000,6,0.010,40,14,0.989,265028,0
2025-11-15 03:24:45,3722,002,2.1.0,4.051,23.10,987.63,63.30,0.0000,4,0.007,40,14,0.993,265028,0
2025-11-15 03:34:49,3721,002,2.1.0,4.050,23.07,987.66,63.16,0.0000,20,0.033,40,12,0.960,265028,0
2025-11-15 03:44:51,3721,002,2.1.0,4.050,23.03,987.46,64.16,0.0000,8,0.013,40,13,0.985,265028,0
2025-11-15 03:54:54,3722,002,2.1.0,4.051,23.04,987.34,64.15,0.0000,59,0.098,40,9,0.859,265028,0
2025-11-15 04:04:56,3722,002,2.1.0,4.049,22.99,987.24,63.91,0.0000,11,0.018,40,13,0.979,265028,0
2025-11-15 04:14:59,3722,002,2.1.0,4.050,22.97,987.06,64.25,0.0000,0,0.000,40,14,1.000,265028,0
2025-11-15 04:25:01,3722,002,2.1.0,4.050,22.95,986.95,64.20,0.0000,50,0.083,40,12,0.906,265028,0
2025-11-15 04:35:05,3722,002,2.1.0,4.050,22.93,986.83,63.89,0.0000,29,0.048,40,11,0.938,265028,0
2025-11-15 04:45:07,3718,002,2.1.0,4.050,22.95,986.89,64.62,0.0000,187,0.311,40,2,0.300,265028,0
2025-11-15 04:55:10,3722,002,2.1.0,4.050,23.04,986.73,64.19,0.0000,204,0.339,40,4,0.440,265028,0
2025-11-15 05:05:14,3722,002,2.1.0,4.050,23.12,986.57,63.91,0.0000,234,0.389,40,0,0.000,265028,0
2025-11-15 05:15:17,3722,002,2.1.0,4.050,23.15,986.51,64.22,0.0000,188,0.313,40,2,0.299,265028,0
2025-11-15 05:25:19,3722,002,2.1.0,4.049,23.14,986.46,64.01,0.0000,109,0.181,40,6,0.688,265028,0
2025-11-15 05:35:22,3717,002,2.1.0,4.050,23.06,986.24,64.17,0.0000,31,0.052,40,11,0.934,265028,0
2025-11-15 05:45:25,3722,002,2.1.0,4.048,23.08,986.01,64.33,0.0000,95,0.158,40,1,0.296,265028,0
2025-11-15 05:55:28,3726,002,2.1.0,4.049,23.11,986.16,64.08,0.0000,140,0.233,40,0,0.000,265028,0
2025-11-15 06:05:31,3726,002,2.1.0,4.048,23.16,986.13,64.31,2.2032,204,0.339,40,1,0.164,265028,0
2025-11-15 06:15:34,3722,002,2.1.0,4.049,23.28,986.15,64.52,1.1592,259,0.431,40,1,0.134,265028,0
2025-11-15 06:25:37,3722,002,2.1.0,4.049,23.33,986.07,63.71,2.4480,341,0.568,40,1,0.105,265028,0
2025-11-15 06:35:40,3726,002,2.1.0,4.049,23.39,986.14,63.33,2.4768,298,0.496,40,1,0.118,265028,0
