MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/12/2025 16:32:18,1.17.2,Bandit80,11,3.87,nan,20,20,80,Right,Right,0,1,0,0,nan,nan,0.28
11/12/2025 16:32:21,1.17.2,Bandit80,11,3.87,2,20,20,80,Pellet,Right,0,1,1,0,0.35,nan,nan
11/12/2025 16:35:18,1.17.2,Bandit80,11,3.87,nan,20,20,80,Right,Right,0,2,1,1,nan,nan,0.12
11/12/2025 16:35:20,1.17.2,Bandit80,11,3.87,1,20,20,80,Pellet,Right,0,2,2,1,0.59,179,nan
11/12/2025 16:36:54,1.17.2,Bandit80,11,3.87,nan,20,20,80,Left,Right,1,2,2,2,nan,nan,0.24
11/12/2025 16:36:55,1.17.2,Bandit80,11,3.87,nan,20,20,80,LeftinTimeOut,Right,1,2,2,2,nan,nan,nan
11/12/2025 16:36:56,1.17.2,Bandit80,11,3.87,nan,20,20,80,LeftinTimeOut,Right,1,2,2,2,nan,nan,nan
11/12/2025 16:36:58,1.17.2,Bandit80,11,3.87,nan,20,20,80,LeftinTimeOut,Right,1,2,2,2,nan,nan,nan
11/12/2025 16:50:16,1.17.2,Bandit80,11,3.87,nan,20,20,80,Left,Right,2,2,2,2,nan,nan,0.17
11/12/2025 16:50:19,1.17.2,Bandit80,11,3.87,nan,20,20,80,LeftinTimeOut,Right,2,2,2,2,nan,nan,nan
11/12/2025 16:55:49,1.17.2,Bandit80,11,3.87,nan,20,20,80,Right,Right,2,3,2,2,nan,nan,0.33
11/12/2025 16:55:51,1.17.2,Bandit80,11,3.87,1,20,20,80,Pellet,Right,2,3,3,2,1.25,1231,nan
11/12/2025 17:43:51,1.17.2,Bandit80,11,3.87,nan,20,20,80,Left,Right,3,3,3,3,nan,nan,0.39
11/12/2025 17:43:57,1.17.2,Bandit80,11,3.87,nan,20,20,80,LeftinTimeOut,Right,3,3,3,3,nan,nan,nan
11/12/2025 17:43:58,1.17.2,Bandit80,11,3.87,nan,20,20,80,LeftinTimeOut,Right,3,3,3,3,nan,nan,nan
11/12/2025 17:44:01,1.17.2,Bandit80,11,3.87,nan,20,20,80,LeftinTimeOut,Right,3,3,3,3,nan,nan,nan
11/12/2025 17:44:03,1.17.2,Bandit80,11,3.87,nan,20,20,80,LeftinTimeOut,Right,3,3,3,3,nan,nan,nan
11/12/2025 17:44:05,1.17.2,Bandit80,11,3.87,nan,20,20,80,LeftinTimeOut,Right,3,3,3,3,nan,nan,nan
11/12/2025 17:44:06,1.17.2,Bandit80,11,3.87,nan,20,20,80,LeftinTimeOut,Right,3,3,3,3,nan,nan,nan
