MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/12/2025 16:31:58,1.17.2,PR1,16,3.98,nan,1,Right,Left,0,1,0,0,nan,nan,0.26
11/12/2025 16:32:33,1.17.2,PR1,16,3.98,nan,1,Right,Left,0,2,0,0,nan,nan,0.14
11/12/2025 16:33:43,1.17.2,PR1,16,3.98,nan,1,Left,Left,1,2,0,0,nan,nan,0.09
11/12/2025 16:34:18,1.17.2,PR1,16,3.98,3,1,Pellet,Left,1,2,1,1,29.67,nan,nan
11/12/2025 16:41:30,1.17.2,PR1,16,3.98,nan,2,Left,Left,2,2,1,1,nan,nan,0.03
11/12/2025 16:43:51,1.17.2,PR1,16,3.99,nan,2,Right,Left,2,3,1,1,nan,nan,0.33
11/12/2025 16:51:49,1.17.2,PR1,16,3.98,nan,2,Right,Left,2,4,1,1,nan,nan,0.23
11/12/2025 16:51:51,1.17.2,PR1,16,3.98,nan,2,Right,Left,2,5,1,1,nan,nan,0.07
11/12/2025 16:51:52,1.17.2,PR1,16,3.98,nan,2,Right,Left,2,6,1,1,nan,nan,0.11
11/12/2025 17:42:45,1.17.2,PR1,16,3.98,nan,1,Left,Left,3,6,1,0,nan,nan,0.14
11/12/2025 17:42:47,1.17.2,PR1,16,3.98,1,1,Pellet,Left,3,6,2,1,0.53,4109,nan
11/12/2025 17:43:35,1.17.2,PR1,16,3.99,nan,2,Left,Left,4,6,2,1,nan,nan,0.40
11/12/2025 17:43:37,1.17.2,PR1,16,3.98,nan,2,Left,Left,5,6,2,1,nan,nan,0.24
11/12/2025 17:43:40,1.17.2,PR1,16,3.98,2,2,Pellet,Left,5,6,3,2,1.54,53,nan
11/12/2025 17:43:55,1.17.2,PR1,16,3.98,nan,3,Left,Left,6,6,3,2,nan,nan,0.06
11/12/2025 17:44:03,1.17.2,PR1,16,3.98,nan,3,Left,Left,7,6,3,2,nan,nan,0.50
11/12/2025 17:44:05,1.17.2,PR1,16,3.98,nan,3,Left,Left,8,6,3,2,nan,nan,0.27
11/12/2025 17:44:06,1.17.2,PR1,16,3.98,1,3,Pellet,Left,8,6,4,3,0.41,26,nan
11/12/2025 17:44:19,1.17.2,PR1,16,3.98,nan,4,Left,Left,9,6,4,3,nan,nan,0.17
11/12/2025 17:44:21,1.17.2,PR1,16,3.98,nan,4,Left,Left,10,6,4,3,nan,nan,0.30
11/12/2025 17:44:26,1.17.2,PR1,16,3.98,nan,4,Right,Left,10,7,4,3,nan,nan,0.36
11/12/2025 17:44:33,1.17.2,PR1,16,3.98,nan,4,Left,Left,11,7,4,3,nan,nan,0.14
11/12/2025 17:49:17,1.17.2,PR1,16,3.98,nan,4,Right,Left,11,8,4,3,nan,nan,0.15
11/12/2025 17:49:19,1.17.2,PR1,16,3.98,nan,4,Right,Left,11,9,4,3,nan,nan,0.14
11/12/2025 17:49:23,1.17.2,PR1,16,3.98,nan,4,Right,Left,11,10,4,3,nan,nan,0.07
11/12/2025 17:49:27,1.17.2,PR1,16,3.98,nan,4,Right,Left,11,11,4,3,nan,nan,0.09
11/12/2025 17:49:28,1.17.2,PR1,16,3.98,nan,4,Right,Left,11,12,4,3,nan,nan,0.10
11/12/2025 17:49:30,1.17.2,PR1,16,3.98,nan,4,Right,Left,11,13,4,3,nan,nan,0.25
11/12/2025 18:18:57,1.17.2,PR1,16,3.99,nan,1,Left,Left,12,13,4,0,nan,nan,0.10
11/12/2025 18:18:59,1.17.2,PR1,16,3.98,1,1,Pellet,Left,12,13,5,1,0.77,2093,nan
11/12/2025 18:19:15,1.17.2,PR1,16,3.98,nan,2,Left,Left,13,13,5,1,nan,nan,0.32
11/12/2025 18:19:19,1.17.2,PR1,16,3.98,nan,2,Left,Left,14,13,5,1,nan,nan,0.65
11/12/2025 18:19:20,1.17.2,PR1,16,3.98,1,2,Pellet,Left,14,13,6,2,0.35,21,nan
11/12/2025 18:19:28,1.17.2,PR1,16,3.98,nan,3,Left,Left,15,13,6,2,nan,nan,0.03
11/12/2025 18:19:29,1.17.2,PR1,16,3.98,nan,3,Left,Left,16,13,6,2,nan,nan,0.11
11/12/2025 18:19:32,1.17.2,PR1,16,3.98,nan,3,Left,Left,17,13,6,2,nan,nan,0.04
11/12/2025 18:19:32,1.17.2,PR1,16,3.98,1,3,Pellet,Left,17,13,7,3,0.23,12,nan
11/12/2025 18:19:45,1.17.2,PR1,16,3.98,nan,4,Left,Left,18,13,7,3,nan,nan,0.11
11/12/2025 18:19:46,1.17.2,PR1,16,3.98,nan,4,Left,Left,19,13,7,3,nan,nan,0.09
11/12/2025 18:19:48,1.17.2,PR1,16,3.98,nan,4,Left,Left,20,13,7,3,nan,nan,0.59
11/12/2025 18:19:49,1.17.2,PR1,16,3.98,nan,4,Left,Left,21,13,7,3,nan,nan,0.08
11/12/2025 18:19:50,1.17.2,PR1,16,3.98,1,4,Pellet,Left,21,13,8,4,0.17,18,nan
11/12/2025 18:19:58,1.17.2,PR1,16,3.98,nan,5,Left,Left,22,13,8,4,nan,nan,0.11
11/12/2025 18:19:59,1.17.2,PR1,16,3.98,nan,5,Left,Left,23,13,8,4,nan,nan,0.07
11/12/2025 18:20:00,1.17.2,PR1,16,3.98,nan,5,Left,Left,24,13,8,4,nan,nan,0.15
11/12/2025 18:20:02,1.17.2,PR1,16,3.98,nan,5,Left,Left,25,13,8,4,nan,nan,0.12
11/12/2025 18:20:03,1.17.2,PR1,16,3.98,nan,5,Left,Left,26,13,8,4,nan,nan,0.13
11/12/2025 18:20:04,1.17.2,PR1,16,3.98,1,5,Pellet,Left,26,13,9,5,0.41,14,nan
11/12/2025 18:20:14,1.17.2,PR1,16,3.98,nan,6,Left,Left,27,13,9,5,nan,nan,0.08
11/12/2025 18:20:15,1.17.2,PR1,16,3.98,nan,6,Left,Left,28,13,9,5,nan,nan,0.09
11/12/2025 18:20:20,1.17.2,PR1,16,3.98,nan,6,Left,Left,29,13,9,5,nan,nan,0.13
11/12/2025 18:20:23,1.17.2,PR1,16,3.98,nan,6,Left,Left,30,13,9,5,nan,nan,0.08
11/12/2025 18:20:26,1.17.2,PR1,16,3.98,nan,6,Right,Left,30,14,9,5,nan,nan,0.29
11/12/2025 18:20:27,1.17.2,PR1,16,3.98,nan,6,Right,Left,30,15,9,5,nan,nan,0.11
11/12/2025 18:20:30,1.17.2,PR1,16,3.98,nan,6,Left,Left,31,15,9,5,nan,nan,0.13
11/12/2025 18:38:14,1.17.2,PR1,16,3.98,nan,6,Right,Left,31,16,9,5,nan,nan,0.17
11/12/2025 18:38:16,1.17.2,PR1,16,3.98,nan,6,Right,Left,31,17,9,5,nan,nan,0.35
11/12/2025 18:38:18,1.17.2,PR1,16,3.98,nan,6,Right,Left,31,18,9,5,nan,nan,0.11
11/12/2025 18:38:21,1.17.2,PR1,16,3.98,nan,6,Left,Left,32,18,9,5,nan,nan,0.05
11/12/2025 18:38:22,1.17.2,PR1,16,3.98,1,6,Pellet,Left,32,18,10,6,0.41,1098,nan
11/12/2025 18:38:39,1.17.2,PR1,16,3.98,nan,7,Left,Left,33,18,10,6,nan,nan,0.04
11/12/2025 18:38:41,1.17.2,PR1,16,3.98,nan,7,Left,Left,34,18,10,6,nan,nan,0.27
11/12/2025 18:38:44,1.17.2,PR1,16,3.98,nan,7,Left,Left,35,18,10,6,nan,nan,0.51
11/12/2025 18:38:45,1.17.2,PR1,16,3.98,nan,7,Left,Left,36,18,10,6,nan,nan,0.33
11/12/2025 18:38:47,1.17.2,PR1,16,3.98,nan,7,Left,Left,37,18,10,6,nan,nan,0.59
11/12/2025 18:38:50,1.17.2,PR1,16,3.98,nan,7,Left,Left,38,18,10,6,nan,nan,0.05
11/12/2025 18:38:52,1.17.2,PR1,16,3.98,nan,7,Left,Left,39,18,10,6,nan,nan,0.12
11/12/2025 18:38:53,1.17.2,PR1,16,3.98,1,7,Pellet,Left,39,18,11,7,0.35,31,nan
11/12/2025 18:39:00,1.17.2,PR1,16,3.98,nan,8,Left,Left,40,18,11,7,nan,nan,0.28
11/12/2025 18:39:02,1.17.2,PR1,16,3.98,nan,8,Left,Left,41,18,11,7,nan,nan,0.11
11/12/2025 18:39:04,1.17.2,PR1,16,3.98,nan,8,Left,Left,42,18,11,7,nan,nan,0.37
11/12/2025 18:39:05,1.17.2,PR1,16,3.98,nan,8,Left,Left,43,18,11,7,nan,nan,0.11
11/12/2025 18:39:10,1.17.2,PR1,16,3.98,nan,8,Left,Left,44,18,11,7,nan,nan,0.06
11/12/2025 18:39:14,1.17.2,PR1,16,3.98,nan,8,Left,Left,45,18,11,7,nan,nan,0.06
11/12/2025 18:39:35,1.17.2,PR1,16,3.98,nan,8,Left,Left,46,18,11,7,nan,nan,0.10
11/12/2025 18:39:36,1.17.2,PR1,16,3.98,nan,8,Left,Left,47,18,11,7,nan,nan,0.15
11/12/2025 18:39:37,1.17.2,PR1,16,3.98,1,8,Pellet,Left,47,18,12,8,0.23,44,nan
11/12/2025 18:39:46,1.17.2,PR1,16,3.98,nan,9,Left,Left,48,18,12,8,nan,nan,0.05
11/12/2025 18:39:48,1.17.2,PR1,16,3.98,nan,9,Left,Left,49,18,12,8,nan,nan,0.12
11/12/2025 18:39:48,1.17.2,PR1,16,3.98,nan,9,Left,Left,50,18,12,8,nan,nan,0.17
