MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/10/2025 18:14:10,1.17.2,Bandit80,8,4.21,nan,20,20,80,Right,Right,0,1,0,0,nan,nan,0.32
11/10/2025 18:14:47,1.17.2,Bandit80,8,4.21,3,20,20,80,Pellet,Right,0,1,1,0,33.29,nan,nan
11/10/2025 18:14:59,1.17.2,Bandit80,8,4.21,nan,20,20,80,Right,Right,0,2,1,1,nan,nan,0.09
11/10/2025 18:15:00,1.17.2,Bandit80,8,4.21,2,20,20,80,Pellet,Right,0,2,2,1,0.71,14,nan
11/10/2025 18:15:08,1.17.2,Bandit80,8,4.21,nan,20,20,80,Right,Right,0,3,2,2,nan,nan,0.18
11/10/2025 18:15:09,1.17.2,Bandit80,8,4.21,2,20,20,80,Pellet,Right,0,3,3,2,0.47,9,nan
11/10/2025 18:21:14,1.17.2,Bandit80,8,4.21,nan,20,20,80,Right,Right,0,4,3,3,nan,nan,0.33
11/10/2025 18:21:15,1.17.2,Bandit80,8,4.21,1,20,20,80,Pellet,Right,0,4,4,3,0.65,366,nan
11/10/2025 18:21:53,1.17.2,Bandit80,8,4.21,nan,20,20,80,Left,Right,1,4,4,4,nan,nan,0.19
11/10/2025 18:23:59,1.17.2,Bandit80,8,4.21,nan,20,20,80,Left,Right,2,4,4,4,nan,nan,0.24
11/10/2025 18:24:01,1.17.2,Bandit80,8,4.21,nan,20,20,80,LeftinTimeOut,Right,2,4,4,4,nan,nan,nan
11/10/2025 18:26:47,1.17.2,Bandit80,8,4.21,nan,20,20,80,Right,Right,2,5,4,4,nan,nan,0.00
11/10/2025 18:26:52,1.17.2,Bandit80,8,4.21,2,20,20,80,Pellet,Right,2,5,5,4,2.27,337,nan
11/10/2025 18:27:16,1.17.2,Bandit80,8,4.22,nan,20,20,80,Left,Right,3,5,5,5,nan,nan,0.03
11/10/2025 18:27:39,1.17.2,Bandit80,8,4.21,nan,20,20,80,Left,Right,4,5,5,5,nan,nan,0.08
11/10/2025 18:27:42,1.17.2,Bandit80,8,4.21,2,20,20,80,Pellet,Right,4,5,6,5,0.65,50,nan
11/10/2025 18:27:53,1.17.2,Bandit80,8,4.21,nan,20,20,80,Left,Right,5,5,6,6,nan,nan,0.04
11/10/2025 18:29:11,1.17.2,Bandit80,8,4.21,nan,20,20,80,Left,Right,6,5,6,6,nan,nan,0.30
11/10/2025 18:30:38,1.17.2,Bandit80,8,4.21,nan,20,20,80,Left,Right,7,5,6,6,nan,nan,0.19
11/10/2025 18:30:39,1.17.2,Bandit80,8,4.21,nan,20,20,80,RightinTimeout,Right,7,5,6,6,nan,nan,0.00
11/10/2025 18:31:52,1.17.2,Bandit80,8,4.21,nan,20,20,80,Left,Right,8,5,6,6,nan,nan,0.40
11/10/2025 18:31:58,1.17.2,Bandit80,8,4.21,nan,20,20,80,RightinTimeout,Right,8,5,6,6,nan,nan,0.00
11/10/2025 18:33:25,1.17.2,Bandit80,8,4.21,nan,20,20,80,Right,Right,8,6,6,6,nan,nan,0.14
11/10/2025 18:33:27,1.17.2,Bandit80,8,4.21,1,20,20,80,Pellet,Right,8,6,7,6,0.41,345,nan
11/10/2025 18:33:33,1.17.2,Bandit80,8,4.21,nan,20,20,80,Right,Right,8,7,7,7,nan,nan,0.00
11/10/2025 18:33:35,1.17.2,Bandit80,8,4.21,1,20,20,80,Pellet,Right,8,7,8,7,1.07,8,nan
11/10/2025 18:33:46,1.17.2,Bandit80,8,4.20,nan,20,20,80,Right,Right,8,8,8,8,nan,nan,0.08
11/10/2025 18:33:47,1.17.2,Bandit80,8,4.21,1,20,20,80,Pellet,Right,8,8,9,8,0.65,12,nan
11/10/2025 18:33:59,1.17.2,Bandit80,8,4.20,nan,20,20,80,Right,Right,8,9,9,9,nan,nan,0.07
11/10/2025 18:34:01,1.17.2,Bandit80,8,4.21,1,20,20,80,Pellet,Right,8,9,10,9,1.19,14,nan
11/10/2025 18:34:08,1.17.2,Bandit80,8,4.21,nan,20,20,80,Right,Right,8,10,10,10,nan,nan,0.14
11/10/2025 18:34:12,1.17.2,Bandit80,8,4.21,nan,20,20,80,RightinTimeout,Right,8,10,10,10,nan,nan,0.00
11/10/2025 18:34:52,1.17.2,Bandit80,8,4.21,nan,20,20,80,Right,Right,8,11,10,10,nan,nan,0.47
11/10/2025 18:34:56,1.17.2,Bandit80,8,4.21,1,20,20,80,Pellet,Right,8,11,11,10,2.63,54,nan
11/10/2025 18:35:02,1.17.2,Bandit80,8,4.21,nan,20,20,80,Right,Right,8,12,11,11,nan,nan,0.24
11/10/2025 18:35:03,1.17.2,Bandit80,8,4.21,1,20,20,80,Pellet,Right,8,12,12,11,1.01,8,nan
11/10/2025 18:35:08,1.17.2,Bandit80,8,4.21,nan,20,20,80,Right,Right,8,13,12,12,nan,nan,0.04
11/10/2025 18:35:09,1.17.2,Bandit80,8,4.21,1,20,20,80,Pellet,Right,8,13,13,12,0.77,6,nan
11/10/2025 18:35:18,1.17.2,Bandit80,8,4.21,nan,20,20,80,Right,Right,8,14,13,13,nan,nan,0.09
11/10/2025 18:35:20,1.17.2,Bandit80,8,4.20,1,20,20,80,Pellet,Right,8,14,14,13,0.59,11,nan
11/10/2025 18:36:27,1.17.2,Bandit80,8,4.21,nan,20,20,80,Right,Right,8,15,14,14,nan,nan,0.09
11/10/2025 18:36:31,1.17.2,Bandit80,8,4.20,2,20,20,80,Pellet,Right,8,15,15,14,1.01,71,nan
11/10/2025 18:47:11,1.17.2,Bandit80,8,4.21,nan,20,20,80,Left,Right,9,15,15,15,nan,nan,0.11
11/10/2025 18:47:12,1.17.2,Bandit80,8,4.20,2,20,20,80,Pellet,Right,9,15,16,15,0.41,641,nan
11/10/2025 18:49:45,1.17.2,Bandit80,8,4.20,nan,20,20,80,Right,Right,9,16,16,16,nan,nan,0.04
11/10/2025 18:49:46,1.17.2,Bandit80,8,4.20,1,20,20,80,Pellet,Right,9,16,17,16,0.71,154,nan
11/10/2025 18:56:40,1.17.2,Bandit80,8,4.21,nan,20,20,80,Left,Right,10,16,17,17,nan,nan,0.00
11/10/2025 18:56:44,1.17.2,Bandit80,8,4.20,2,20,20,80,Pellet,Right,10,16,18,17,1.19,418,nan
11/10/2025 18:56:51,1.17.2,Bandit80,8,4.21,nan,20,20,80,Left,Right,11,16,18,18,nan,nan,0.18
11/10/2025 18:56:57,1.17.2,Bandit80,8,4.21,nan,20,20,80,LeftinTimeOut,Right,11,16,18,18,nan,nan,nan
11/10/2025 18:56:59,1.17.2,Bandit80,8,4.20,nan,20,20,80,LeftinTimeOut,Right,11,16,18,18,nan,nan,nan
11/10/2025 18:57:00,1.17.2,Bandit80,8,4.20,nan,20,20,80,LeftinTimeOut,Right,11,16,18,18,nan,nan,nan
11/10/2025 18:57:02,1.17.2,Bandit80,8,4.21,nan,20,20,80,LeftinTimeOut,Right,11,16,18,18,nan,nan,nan
11/10/2025 18:57:20,1.17.2,Bandit80,8,4.21,nan,20,20,80,Right,Right,11,17,18,18,nan,nan,0.00
11/10/2025 18:57:22,1.17.2,Bandit80,8,4.21,1,20,20,80,Pellet,Right,11,17,19,18,0.95,37,nan
11/10/2025 18:58:36,1.17.2,Bandit80,8,4.21,nan,20,20,80,Left,Right,12,17,19,19,nan,nan,0.13
11/10/2025 18:58:38,1.17.2,Bandit80,8,4.21,nan,20,20,80,RightinTimeout,Right,12,17,19,19,nan,nan,0.00
11/10/2025 18:58:39,1.17.2,Bandit80,8,4.20,nan,20,20,80,RightinTimeout,Right,12,17,19,19,nan,nan,0.00
11/10/2025 18:58:39,1.17.2,Bandit80,8,4.20,nan,20,20,80,RightinTimeout,Right,12,17,19,19,nan,nan,0.00
11/10/2025 19:00:10,1.17.2,Bandit80,8,4.21,nan,20,20,80,Right,Right,12,18,19,19,nan,nan,0.17
11/10/2025 19:00:12,1.17.2,Bandit80,8,4.21,1,20,20,80,Pellet,Right,12,18,20,19,0.77,171,nan
11/10/2025 19:00:18,1.17.2,Bandit80,8,4.20,nan,20,80,20,Right,Left,12,19,20,0,nan,nan,0.10
11/10/2025 19:08:23,1.17.2,Bandit80,8,4.20,nan,20,80,20,Right,Left,12,20,20,0,nan,nan,0.08
11/10/2025 19:08:24,1.17.2,Bandit80,8,4.21,1,20,80,20,Pellet,Left,12,20,21,0,0.65,492,nan
11/10/2025 19:11:21,1.17.2,Bandit80,8,4.20,nan,20,80,20,Right,Left,12,21,21,1,nan,nan,0.05
11/10/2025 19:11:23,1.17.2,Bandit80,8,4.21,1,20,80,20,Pellet,Left,12,21,22,1,0.65,179,nan
11/10/2025 19:12:34,1.17.2,Bandit80,8,4.20,nan,20,80,20,Left,Left,13,21,22,2,nan,nan,0.21
11/10/2025 19:12:35,1.17.2,Bandit80,8,4.21,1,20,80,20,Pellet,Left,13,21,23,2,0.77,72,nan
11/10/2025 19:12:49,1.17.2,Bandit80,8,4.21,nan,20,80,20,Left,Left,14,21,23,3,nan,nan,0.07
11/10/2025 19:12:51,1.17.2,Bandit80,8,4.20,1,20,80,20,Pellet,Left,14,21,24,3,1.43,16,nan
11/10/2025 19:12:56,1.17.2,Bandit80,8,4.21,nan,20,80,20,Left,Left,15,21,24,4,nan,nan,0.08
11/10/2025 19:12:57,1.17.2,Bandit80,8,4.20,1,20,80,20,Pellet,Left,15,21,25,4,0.95,6,nan
11/10/2025 19:13:02,1.17.2,Bandit80,8,4.20,nan,20,80,20,Left,Left,16,21,25,5,nan,nan,0.06
11/10/2025 19:13:14,1.17.2,Bandit80,8,4.21,1,20,80,20,Pellet,Left,16,21,26,5,10.67,17,nan
11/10/2025 19:14:39,1.17.2,Bandit80,8,4.20,nan,20,80,20,Left,Left,17,21,26,6,nan,nan,0.08
11/10/2025 19:14:40,1.17.2,Bandit80,8,4.20,1,20,80,20,Pellet,Left,17,21,27,6,0.65,86,nan
11/10/2025 19:16:13,1.17.2,Bandit80,8,4.21,nan,20,80,20,Right,Left,17,22,27,7,nan,nan,0.12
11/10/2025 19:24:05,1.17.2,Bandit80,8,4.20,nan,20,80,20,Left,Left,18,22,27,7,nan,nan,0.18
11/10/2025 19:24:06,1.17.2,Bandit80,8,4.20,1,20,80,20,Pellet,Left,18,22,28,7,0.89,566,nan
11/10/2025 19:24:13,1.17.2,Bandit80,8,4.20,nan,20,80,20,Left,Left,19,22,28,8,nan,nan,0.23
11/10/2025 19:24:17,1.17.2,Bandit80,8,4.20,2,20,80,20,Pellet,Left,19,22,29,8,1.31,11,nan
11/10/2025 19:24:22,1.17.2,Bandit80,8,4.20,nan,20,80,20,Left,Left,20,22,29,9,nan,nan,0.15
11/10/2025 19:24:23,1.17.2,Bandit80,8,4.21,1,20,80,20,Pellet,Left,20,22,30,9,0.65,6,nan
11/10/2025 19:24:34,1.17.2,Bandit80,8,4.20,nan,20,80,20,Left,Left,21,22,30,10,nan,nan,0.04
11/10/2025 19:24:36,1.17.2,Bandit80,8,4.20,1,20,80,20,Pellet,Left,21,22,31,10,1.13,13,nan
11/10/2025 19:24:51,1.17.2,Bandit80,8,4.20,nan,20,80,20,Left,Left,22,22,31,11,nan,nan,0.15
11/10/2025 19:24:53,1.17.2,Bandit80,8,4.21,1,20,80,20,Pellet,Left,22,22,32,11,0.83,17,nan
11/10/2025 19:25:05,1.17.2,Bandit80,8,4.20,nan,20,80,20,Left,Left,23,22,32,12,nan,nan,0.04
11/10/2025 19:25:07,1.17.2,Bandit80,8,4.20,1,20,80,20,Pellet,Left,23,22,33,12,0.77,14,nan
11/10/2025 19:25:33,1.17.2,Bandit80,8,4.20,nan,20,80,20,Left,Left,24,22,33,13,nan,nan,0.04
11/10/2025 19:25:35,1.17.2,Bandit80,8,4.20,nan,20,80,20,LeftinTimeOut,Left,24,22,33,13,nan,nan,nan
11/10/2025 19:26:40,1.17.2,Bandit80,8,4.20,nan,20,80,20,Left,Left,25,22,33,13,nan,nan,0.20
11/10/2025 19:26:42,1.17.2,Bandit80,8,4.20,1,20,80,20,Pellet,Left,25,22,34,13,0.35,94,nan
11/10/2025 19:26:46,1.17.2,Bandit80,8,4.21,nan,20,80,20,Left,Left,26,22,34,14,nan,nan,0.08
11/10/2025 19:26:48,1.17.2,Bandit80,8,4.20,nan,20,80,20,LeftinTimeOut,Left,26,22,34,14,nan,nan,nan
11/10/2025 19:26:50,1.17.2,Bandit80,8,4.20,nan,20,80,20,LeftinTimeOut,Left,26,22,34,14,nan,nan,nan
11/10/2025 19:28:20,1.17.2,Bandit80,8,4.21,nan,20,80,20,Right,Left,26,23,34,14,nan,nan,0.14
11/10/2025 19:30:15,1.17.2,Bandit80,8,4.20,nan,20,80,20,Right,Left,26,24,34,14,nan,nan,0.14
11/10/2025 19:30:41,1.17.2,Bandit80,8,4.20,nan,20,80,20,Left,Left,27,24,34,14,nan,nan,0.31
11/10/2025 19:30:42,1.17.2,Bandit80,8,4.20,nan,20,80,20,LeftinTimeOut,Left,27,24,34,14,nan,nan,nan
11/10/2025 19:39:35,1.17.2,Bandit80,8,4.20,nan,20,80,20,Left,Left,28,24,34,14,nan,nan,0.12
11/10/2025 19:39:36,1.17.2,Bandit80,8,4.20,nan,20,80,20,LeftinTimeOut,Left,28,24,34,14,nan,nan,nan
11/10/2025 19:43:36,1.17.2,Bandit80,8,4.20,nan,20,80,20,Left,Left,29,24,34,14,nan,nan,0.23
11/10/2025 19:43:42,1.17.2,Bandit80,8,4.21,2,20,80,20,Pellet,Left,29,24,35,14,3.17,1021,nan
11/10/2025 19:44:08,1.17.2,Bandit80,8,4.20,nan,20,80,20,Right,Left,29,25,35,15,nan,nan,0.17
11/10/2025 19:44:18,1.17.2,Bandit80,8,4.20,2,20,80,20,Pellet,Left,29,25,36,15,7.13,36,nan
11/10/2025 19:44:28,1.17.2,Bandit80,8,4.20,nan,20,80,20,Right,Left,29,26,36,16,nan,nan,0.15
11/10/2025 19:45:29,1.17.2,Bandit80,8,4.20,nan,20,80,20,Left,Left,30,26,36,16,nan,nan,0.15
11/10/2025 19:45:31,1.17.2,Bandit80,8,4.20,1,20,80,20,Pellet,Left,30,26,37,16,1.25,73,nan
11/10/2025 19:45:35,1.17.2,Bandit80,8,4.20,nan,20,80,20,Left,Left,31,26,37,17,nan,nan,0.09
11/10/2025 19:45:36,1.17.2,Bandit80,8,4.20,1,20,80,20,Pellet,Left,31,26,38,17,0.71,5,nan
11/10/2025 19:45:41,1.17.2,Bandit80,8,4.21,nan,20,80,20,Left,Left,32,26,38,18,nan,nan,0.04
11/10/2025 19:45:46,1.17.2,Bandit80,8,4.20,nan,20,80,20,LeftinTimeOut,Left,32,26,38,18,nan,nan,nan
11/10/2025 19:45:48,1.17.2,Bandit80,8,4.20,nan,20,80,20,LeftinTimeOut,Left,32,26,38,18,nan,nan,nan
11/10/2025 19:49:17,1.17.2,Bandit80,8,4.20,nan,20,80,20,Right,Left,32,27,38,18,nan,nan,0.15
11/10/2025 19:49:24,1.17.2,Bandit80,8,4.20,nan,20,80,20,LeftinTimeOut,Left,32,27,38,18,nan,nan,nan
11/10/2025 19:49:25,1.17.2,Bandit80,8,4.20,nan,20,80,20,LeftinTimeOut,Left,32,27,38,18,nan,nan,nan
11/10/2025 19:59:21,1.17.2,Bandit80,8,4.20,nan,20,80,20,Right,Left,32,28,38,18,nan,nan,0.25
11/10/2025 19:59:30,1.17.2,Bandit80,8,4.20,nan,20,80,20,LeftinTimeOut,Left,32,28,38,18,nan,nan,nan
11/10/2025 19:59:30,1.17.2,Bandit80,8,4.20,nan,20,80,20,LeftinTimeOut,Left,32,28,38,18,nan,nan,nan
11/10/2025 20:03:44,1.17.2,Bandit80,8,4.20,nan,20,80,20,Left,Left,33,28,38,18,nan,nan,0.09
11/10/2025 20:03:46,1.17.2,Bandit80,8,4.20,1,20,80,20,Pellet,Left,33,28,39,18,1.31,1090,nan
11/10/2025 20:05:01,1.17.2,Bandit80,8,4.20,nan,20,80,20,Right,Left,33,29,39,19,nan,nan,0.18
11/10/2025 20:07:30,1.17.2,Bandit80,8,4.20,nan,20,80,20,Right,Left,33,30,39,19,nan,nan,0.11
11/10/2025 20:07:31,1.17.2,Bandit80,8,4.20,nan,20,80,20,RightinTimeout,Left,33,30,39,19,nan,nan,0.00
11/10/2025 20:14:47,1.17.2,Bandit80,8,4.20,nan,20,80,20,Right,Left,33,31,39,19,nan,nan,0.14
11/10/2025 20:14:49,1.17.2,Bandit80,8,4.20,1,20,80,20,Pellet,Left,33,31,40,19,1.19,663,nan
11/10/2025 20:14:57,1.17.2,Bandit80,8,4.20,nan,20,20,80,Right,Right,33,32,40,0,nan,nan,0.09
11/10/2025 20:14:58,1.17.2,Bandit80,8,4.20,1,20,20,80,Pellet,Right,33,32,41,0,1.01,9,nan
11/10/2025 20:15:05,1.17.2,Bandit80,8,4.20,nan,20,20,80,Right,Right,33,33,41,1,nan,nan,0.12
11/10/2025 20:15:07,1.17.2,Bandit80,8,4.20,1,20,20,80,Pellet,Right,33,33,42,1,0.65,9,nan
11/10/2025 20:15:15,1.17.2,Bandit80,8,4.20,nan,20,20,80,Right,Right,33,34,42,2,nan,nan,0.05
11/10/2025 20:15:17,1.17.2,Bandit80,8,4.20,1,20,20,80,Pellet,Right,33,34,43,2,1.25,10,nan
11/10/2025 20:15:31,1.17.2,Bandit80,8,4.20,nan,20,20,80,Right,Right,33,35,43,3,nan,nan,0.09
11/10/2025 20:15:33,1.17.2,Bandit80,8,4.20,1,20,20,80,Pellet,Right,33,35,44,3,1.19,16,nan
11/10/2025 20:16:04,1.17.2,Bandit80,8,4.20,nan,20,20,80,Right,Right,33,36,44,4,nan,nan,0.06
11/10/2025 20:16:06,1.17.2,Bandit80,8,4.20,1,20,20,80,Pellet,Right,33,36,45,4,0.77,33,nan
11/10/2025 20:16:30,1.17.2,Bandit80,8,4.20,nan,20,20,80,Left,Right,34,36,45,5,nan,nan,0.20
11/10/2025 20:16:31,1.17.2,Bandit80,8,4.20,nan,20,20,80,LeftinTimeOut,Right,34,36,45,5,nan,nan,nan
11/10/2025 20:18:53,1.17.2,Bandit80,8,4.20,nan,20,20,80,Left,Right,35,36,45,5,nan,nan,0.05
11/10/2025 20:27:27,1.17.2,Bandit80,8,4.20,nan,20,20,80,Right,Right,35,37,45,5,nan,nan,0.05
11/10/2025 20:27:28,1.17.2,Bandit80,8,4.20,nan,20,20,80,RightinTimeout,Right,35,37,45,5,nan,nan,0.00
11/10/2025 20:27:29,1.17.2,Bandit80,8,4.20,nan,20,20,80,RightinTimeout,Right,35,37,45,5,nan,nan,0.00
11/10/2025 20:27:30,1.17.2,Bandit80,8,4.20,nan,20,20,80,RightinTimeout,Right,35,37,45,5,nan,nan,0.00
11/10/2025 21:13:21,1.17.2,Bandit80,8,4.20,nan,20,20,80,Right,Right,35,38,45,5,nan,nan,0.03
11/10/2025 21:13:25,1.17.2,Bandit80,8,4.20,2,20,20,80,Pellet,Right,35,38,46,5,0.77,3439,nan
11/10/2025 21:13:39,1.17.2,Bandit80,8,4.20,nan,20,20,80,Right,Right,35,39,46,6,nan,nan,0.02
11/10/2025 21:13:40,1.17.2,Bandit80,8,4.20,1,20,20,80,Pellet,Right,35,39,47,6,0.53,15,nan
11/10/2025 21:13:55,1.17.2,Bandit80,8,4.20,nan,20,20,80,Right,Right,35,40,47,7,nan,nan,0.23
11/10/2025 21:13:56,1.17.2,Bandit80,8,4.20,1,20,20,80,Pellet,Right,35,40,48,7,0.53,16,nan
11/10/2025 21:14:12,1.17.2,Bandit80,8,4.20,nan,20,20,80,Right,Right,35,41,48,8,nan,nan,0.07
11/10/2025 21:14:13,1.17.2,Bandit80,8,4.20,1,20,20,80,Pellet,Right,35,41,49,8,0.71,17,nan
11/10/2025 21:15:33,1.17.2,Bandit80,8,4.20,nan,20,20,80,Left,Right,36,41,49,9,nan,nan,0.13
11/10/2025 21:15:35,1.17.2,Bandit80,8,4.20,nan,20,20,80,LeftinTimeOut,Right,36,41,49,9,nan,nan,nan
11/10/2025 21:25:01,1.17.2,Bandit80,8,4.18,nan,20,20,80,Left,Right,37,41,49,9,nan,nan,0.11
11/10/2025 21:25:13,1.17.2,Bandit80,8,4.20,nan,20,20,80,Right,Right,37,42,49,9,nan,nan,0.09
11/10/2025 21:25:16,1.17.2,Bandit80,8,4.20,1,20,20,80,Pellet,Right,37,42,50,9,2.15,663,nan
11/10/2025 21:25:25,1.17.2,Bandit80,8,4.18,nan,20,20,80,Right,Right,37,43,50,10,nan,nan,0.14
11/10/2025 21:25:26,1.17.2,Bandit80,8,4.20,1,20,20,80,Pellet,Right,37,43,51,10,0.71,10,nan
11/10/2025 21:25:35,1.17.2,Bandit80,8,4.20,nan,20,20,80,Right,Right,37,44,51,11,nan,nan,0.14
11/10/2025 21:25:36,1.17.2,Bandit80,8,4.20,nan,20,20,80,RightinTimeout,Right,37,44,51,11,nan,nan,0.00
11/10/2025 21:25:42,1.17.2,Bandit80,8,4.20,nan,20,20,80,RightinTimeout,Right,37,44,51,11,nan,nan,0.00
11/10/2025 21:25:43,1.17.2,Bandit80,8,4.20,nan,20,20,80,RightinTimeout,Right,37,44,51,11,nan,nan,0.00
