MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/7/2025 17:03:24,1.17.2,FreeFeed,7,3.93,nan,1,RightWithPellet,Left,0,1,0,0,nan,nan,0.60
11/7/2025 17:03:40,1.17.2,FreeFeed,7,3.92,nan,1,LeftWithPellet,Left,1,1,0,0,nan,nan,0.43
11/7/2025 17:03:41,1.17.2,FreeFeed,7,3.92,4,1,Pellet,Left,1,1,1,0,Timed_out,nan,nan
11/7/2025 17:03:53,1.17.2,FreeFeed,7,3.92,1,1,Pellet,Left,1,1,2,0,0.33,12,nan
11/7/2025 17:04:04,1.17.2,FreeFeed,7,3.93,nan,1,RightDuringDispense,Left,1,2,2,0,nan,nan,0.24
11/7/2025 17:04:16,1.17.2,FreeFeed,7,3.93,nan,1,RightWithPellet,Left,1,3,2,0,nan,nan,0.18
11/7/2025 17:04:58,1.17.2,FreeFeed,7,3.92,nan,1,LeftWithPellet,Left,2,3,2,0,nan,nan,0.11
11/7/2025 17:04:58,1.17.2,FreeFeed,7,3.93,5,1,Pellet,Left,2,3,3,0,47.03,65,nan
11/7/2025 17:05:30,1.17.2,FreeFeed,7,3.92,nan,1,RightWithPellet,Left,2,4,3,0,nan,nan,0.08
11/7/2025 17:05:44,1.17.2,FreeFeed,7,3.92,2,1,Pellet,Left,2,4,4,0,30.95,46,nan
11/7/2025 17:05:59,1.17.2,FreeFeed,7,3.92,nan,1,RightWithPellet,Left,2,5,4,0,nan,nan,0.18
11/7/2025 17:06:20,1.17.2,FreeFeed,7,3.92,1,1,Pellet,Left,2,5,5,0,24.16,36,nan
11/7/2025 17:14:12,1.17.2,FreeFeed,7,3.93,1,1,Pellet,Left,2,5,6,0,Timed_out,472,nan
11/7/2025 17:17:42,1.17.2,FreeFeed,7,3.92,1,1,Pellet,Left,2,5,7,0,Timed_out,210,nan
11/7/2025 17:18:41,1.17.2,FreeFeed,7,3.92,3,1,Pellet,Left,2,5,8,0,45.04,59,nan
11/7/2025 17:41:38,1.17.2,FreeFeed,7,3.92,nan,1,RightWithPellet,Left,2,6,8,0,nan,nan,0.68
11/7/2025 17:41:40,1.17.2,FreeFeed,7,3.92,nan,1,RightWithPellet,Left,2,7,8,0,nan,nan,0.85
11/7/2025 17:41:42,1.17.2,FreeFeed,7,3.92,2,1,Pellet,Left,2,7,9,0,Timed_out,1381,nan
11/7/2025 17:44:15,1.17.2,FreeFeed,7,3.92,nan,1,RightWithPellet,Left,2,8,9,0,nan,nan,0.13
11/7/2025 18:12:10,1.17.2,FreeFeed,7,3.91,1,1,Pellet,Left,2,8,10,0,Timed_out,1828,nan
11/7/2025 18:12:18,1.17.2,FreeFeed,7,3.92,nan,1,RightDuringDispense,Left,2,9,10,0,nan,nan,0.28
11/7/2025 18:12:22,1.17.2,FreeFeed,7,3.92,3,1,Pellet,Left,2,9,11,0,1.27,12,nan
11/7/2025 18:12:27,1.17.2,FreeFeed,7,3.92,nan,1,RightinTimeout,Left,2,10,11,0,nan,nan,0.00
11/7/2025 18:12:35,1.17.2,FreeFeed,7,3.92,2,1,Pellet,Left,2,10,12,0,1.05,13,nan
11/7/2025 18:12:50,1.17.2,FreeFeed,7,3.92,1,1,Pellet,Left,2,10,13,0,3.11,15,nan
11/7/2025 18:13:08,1.17.2,FreeFeed,7,3.92,1,1,Pellet,Left,2,10,14,0,6.39,18,nan
11/7/2025 18:13:21,1.17.2,FreeFeed,7,3.91,1,1,Pellet,Left,2,10,15,0,1.21,13,nan
11/7/2025 18:13:35,1.17.2,FreeFeed,7,3.91,2,1,Pellet,Left,2,10,16,0,0.33,14,nan
11/7/2025 18:13:50,1.17.2,FreeFeed,7,3.92,1,1,Pellet,Left,2,10,17,0,3.11,15,nan
11/7/2025 18:14:02,1.17.2,FreeFeed,7,3.91,1,1,Pellet,Left,2,10,18,0,0.05,12,nan
11/7/2025 18:17:17,1.17.2,FreeFeed,7,3.92,nan,1,RightWithPellet,Left,2,11,18,0,nan,nan,0.06
11/7/2025 18:29:56,1.17.2,FreeFeed,7,3.92,nan,1,RightWithPellet,Left,2,12,18,0,nan,nan,0.35
11/7/2025 18:29:58,1.17.2,FreeFeed,7,3.91,1,1,Pellet,Left,2,12,19,0,Timed_out,956,nan
11/7/2025 18:31:08,1.17.2,FreeFeed,7,3.92,nan,1,RightWithPellet,Left,2,13,19,0,nan,nan,0.02
11/7/2025 18:33:36,1.17.2,FreeFeed,7,3.91,nan,1,RightWithPellet,Left,2,14,19,0,nan,nan,0.45
11/7/2025 18:38:02,1.17.2,FreeFeed,7,3.92,1,1,Pellet,Left,2,14,20,0,Timed_out,484,nan
11/7/2025 18:40:30,1.17.2,FreeFeed,7,3.91,1,1,Pellet,Left,2,14,21,0,Timed_out,148,nan
11/7/2025 18:40:48,1.17.2,FreeFeed,7,3.92,nan,1,LeftWithPellet,Left,3,14,21,0,nan,nan,0.03
11/7/2025 18:40:48,1.17.2,FreeFeed,7,3.91,nan,1,LeftWithPellet,Left,4,14,21,0,nan,nan,0.15
11/7/2025 18:40:49,1.17.2,FreeFeed,7,3.91,1,1,Pellet,Left,4,14,22,0,7.53,19,nan
11/7/2025 18:42:25,1.17.2,FreeFeed,7,3.91,nan,1,RightWithPellet,Left,4,15,22,0,nan,nan,0.15
11/7/2025 18:43:16,1.17.2,FreeFeed,7,3.92,nan,1,RightWithPellet,Left,4,16,22,0,nan,nan,0.16
11/7/2025 18:45:39,1.17.2,FreeFeed,7,3.91,1,1,Pellet,Left,4,16,23,0,Timed_out,290,nan
11/7/2025 18:46:05,1.17.2,FreeFeed,7,3.91,2,1,Pellet,Left,4,16,24,0,11.64,26,nan
11/7/2025 18:47:18,1.17.2,FreeFeed,7,3.91,1,1,Pellet,Left,4,16,25,0,Timed_out,73,nan
11/7/2025 18:47:31,1.17.2,FreeFeed,7,3.91,1,1,Pellet,Left,4,16,26,0,1.21,13,nan
11/7/2025 19:00:10,1.17.2,FreeFeed,7,3.92,1,1,Pellet,Left,4,16,27,0,Timed_out,759,nan
11/7/2025 19:00:23,1.17.2,FreeFeed,7,3.91,1,1,Pellet,Left,4,16,28,0,0.66,13,nan
11/7/2025 19:00:46,1.17.2,FreeFeed,7,3.91,1,1,Pellet,Left,4,16,29,0,11.58,23,nan
