MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/6/2025 16:10:25,1.17.2,FR1,6,4.01,nan,1,Left,Left,1,0,0,0,nan,nan,0.43
11/6/2025 16:11:24,1.17.2,FR1,6,4.02,nan,1,RightWithPellet,Left,1,1,0,0,nan,nan,0.02
11/6/2025 16:11:33,1.17.2,FR1,6,4.01,2,1,Pellet,Left,1,1,1,0,Timed_out,nan,nan
11/6/2025 16:12:26,1.17.2,FR1,6,4.02,nan,1,Left,Left,2,1,1,0,nan,nan,0.04
11/6/2025 16:12:51,1.17.2,FR1,6,4.02,2,1,Pellet,Left,2,1,2,0,21.92,78,nan
11/6/2025 16:12:57,1.17.2,FR1,6,4.02,nan,1,Left,Left,3,1,2,0,nan,nan,0.13
11/6/2025 16:12:58,1.17.2,FR1,6,4.01,1,1,Pellet,Left,3,1,3,0,0.41,7,nan
11/6/2025 16:14:42,1.17.2,FR1,6,4.02,nan,1,Right,Left,3,2,3,0,nan,nan,0.17
11/6/2025 16:16:50,1.17.2,FR1,6,4.02,nan,1,Left,Left,4,2,3,0,nan,nan,0.18
11/6/2025 16:17:14,1.17.2,FR1,6,4.02,1,1,Pellet,Left,4,2,4,0,22.47,256,nan
11/6/2025 17:02:32,1.17.2,FR1,6,4.01,nan,1,Right,Left,4,3,4,0,nan,nan,0.02
11/6/2025 17:03:10,1.17.2,FR1,6,4.01,nan,1,Left,Left,5,3,4,0,nan,nan,0.08
11/6/2025 17:03:11,1.17.2,FR1,6,4.02,1,1,Pellet,Left,5,3,5,0,1.07,2757,nan
11/6/2025 17:03:26,1.17.2,FR1,6,4.02,nan,1,Left,Left,6,3,5,0,nan,nan,0.14
11/6/2025 17:03:27,1.17.2,FR1,6,4.02,1,1,Pellet,Left,6,3,6,0,0.41,16,nan
11/6/2025 17:03:46,1.17.2,FR1,6,4.02,nan,1,Right,Left,6,4,6,0,nan,nan,0.08
11/6/2025 17:03:52,1.17.2,FR1,6,4.01,nan,1,Right,Left,6,5,6,0,nan,nan,0.05
