MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/17/2026 15:15:50,1.17.3,FR1,0,3.96,nan,1,Left,Left,1,0,0,0,nan,nan,0.21
4/17/2026 15:28:17,1.17.3,FR1,0,3.96,nan,1,RightWithPellet,Left,1,1,0,0,nan,nan,0.26
4/17/2026 15:29:29,1.17.3,FR1,0,3.96,nan,1,LeftWithPellet,Left,2,1,0,0,nan,nan,0.38
4/17/2026 15:49:44,1.17.3,FR1,0,3.96,nan,1,LeftWithPellet,Left,3,1,0,0,nan,nan,0.29
4/17/2026 15:53:25,1.17.3,FR1,0,3.96,nan,1,RightWithPellet,Left,3,2,0,0,nan,nan,0.14
4/17/2026 18:40:05,1.17.3,FR1,0,3.95,nan,1,LeftWithPellet,Left,4,2,0,0,nan,nan,0.24
4/17/2026 18:43:58,1.17.3,FR1,0,3.96,nan,1,RightWithPellet,Left,4,3,0,0,nan,nan,0.79
4/17/2026 18:43:59,1.17.3,FR1,0,3.96,nan,1,RightWithPellet,Left,4,4,0,0,nan,nan,0.05
4/17/2026 18:44:00,1.17.3,FR1,0,3.95,nan,1,RightWithPellet,Left,4,5,0,0,nan,nan,0.56
4/17/2026 18:44:03,1.17.3,FR1,0,3.95,nan,1,RightWithPellet,Left,4,6,0,0,nan,nan,0.49
4/17/2026 19:18:14,1.17.3,FR1,0,3.96,nan,1,RightWithPellet,Left,4,7,0,0,nan,nan,0.49
4/17/2026 19:25:22,1.17.3,FR1,0,3.95,nan,1,RightWithPellet,Left,4,8,0,0,nan,nan,0.14
4/17/2026 19:29:53,1.17.3,FR1,0,3.95,nan,1,RightWithPellet,Left,4,9,0,0,nan,nan,0.22
4/17/2026 19:33:49,1.17.3,FR1,0,3.96,nan,1,RightWithPellet,Left,4,10,0,0,nan,nan,0.31
