MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/21/2026 19:40:09,1.17.3,FR1,76,4.18,nan,1,Left,Left,1,0,0,0,nan,nan,0.05
4/21/2026 19:40:11,1.17.3,FR1,76,4.19,1,1,Pellet,Left,1,0,1,0,2.08,nan,nan
4/21/2026 19:51:05,1.17.3,FR1,76,4.19,nan,1,Left,Left,2,0,1,0,nan,nan,0.02
4/21/2026 19:51:05,1.17.3,FR1,76,4.19,nan,1,LeftDuringDispense,Left,3,0,1,0,nan,nan,0.05
4/21/2026 19:55:27,1.17.3,FR1,76,4.18,2,1,Pellet,Left,3,0,2,0,Timed_out,916,nan
4/21/2026 20:09:34,1.17.3,FR1,76,4.18,nan,1,Left,Left,4,0,2,0,nan,nan,0.04
4/21/2026 20:10:03,1.17.3,FR1,76,4.19,1,1,Pellet,Left,4,0,3,0,28.31,876,nan
4/21/2026 20:19:43,1.17.3,FR1,76,4.19,nan,1,Left,Left,5,0,3,0,nan,nan,0.15
4/21/2026 20:20:00,1.17.3,FR1,76,4.19,nan,1,LeftWithPellet,Left,6,0,3,0,nan,nan,0.05
4/21/2026 20:20:16,1.17.3,FR1,76,4.18,nan,1,LeftWithPellet,Left,7,0,3,0,nan,nan,0.03
4/21/2026 20:20:21,1.17.3,FR1,76,4.18,nan,1,LeftWithPellet,Left,8,0,3,0,nan,nan,0.15
4/21/2026 20:20:47,1.17.3,FR1,76,4.19,nan,1,RightWithPellet,Left,8,1,3,0,nan,nan,0.11
4/21/2026 20:20:50,1.17.3,FR1,76,4.18,nan,1,LeftWithPellet,Left,9,1,3,0,nan,nan,0.20
4/21/2026 20:20:59,1.17.3,FR1,76,4.19,nan,1,LeftWithPellet,Left,10,1,3,0,nan,nan,0.15
4/21/2026 20:21:00,1.17.3,FR1,76,4.18,nan,1,LeftWithPellet,Left,11,1,3,0,nan,nan,0.41
4/21/2026 20:22:33,1.17.3,FR1,76,4.18,nan,1,LeftWithPellet,Left,12,1,3,0,nan,nan,0.09
4/21/2026 20:37:18,1.17.3,FR1,76,4.18,nan,1,LeftWithPellet,Left,13,1,3,0,nan,nan,0.11
4/21/2026 20:37:23,1.17.3,FR1,76,4.19,nan,1,LeftWithPellet,Left,14,1,3,0,nan,nan,0.07
4/21/2026 20:41:44,1.17.3,FR1,76,4.18,nan,1,LeftWithPellet,Left,15,1,3,0,nan,nan,0.02
4/21/2026 20:42:42,1.17.3,FR1,76,4.18,nan,1,LeftWithPellet,Left,16,1,3,0,nan,nan,0.14
4/21/2026 20:42:46,1.17.3,FR1,76,4.18,nan,1,LeftWithPellet,Left,17,1,3,0,nan,nan,0.01
4/21/2026 20:42:57,1.17.3,FR1,76,4.19,nan,1,LeftWithPellet,Left,18,1,3,0,nan,nan,0.16
4/21/2026 20:43:01,1.17.3,FR1,76,4.19,nan,1,LeftWithPellet,Left,19,1,3,0,nan,nan,0.00
4/21/2026 20:43:02,1.17.3,FR1,76,4.18,nan,1,LeftWithPellet,Left,20,1,3,0,nan,nan,0.27
4/21/2026 20:44:55,1.17.3,FR1,76,4.19,nan,1,LeftWithPellet,Left,21,1,3,0,nan,nan,0.42
4/21/2026 20:45:01,1.17.3,FR1,76,4.18,nan,1,RightWithPellet,Left,21,2,3,0,nan,nan,0.08
4/21/2026 20:48:30,1.17.3,FR1,76,4.18,nan,1,LeftWithPellet,Left,22,2,3,0,nan,nan,0.02
4/21/2026 20:52:00,1.17.3,FR1,76,4.18,nan,1,LeftWithPellet,Left,23,2,3,0,nan,nan,0.29
4/21/2026 20:52:01,1.17.3,FR1,76,4.18,1,1,Pellet,Left,23,2,4,0,Timed_out,2518,nan
4/21/2026 20:54:13,1.17.3,FR1,76,4.18,nan,1,Left,Left,24,2,4,0,nan,nan,0.04
4/21/2026 21:08:06,1.17.3,FR1,76,4.18,1,1,Pellet,Left,24,2,5,0,Timed_out,965,nan
4/21/2026 21:17:14,1.17.3,FR1,76,4.18,nan,1,Left,Left,25,2,5,0,nan,nan,0.08
4/21/2026 21:17:30,1.17.3,FR1,76,4.18,nan,1,LeftWithPellet,Left,26,2,5,0,nan,nan,0.10
4/21/2026 21:17:38,1.17.3,FR1,76,4.18,nan,1,RightWithPellet,Left,26,3,5,0,nan,nan,0.56
4/21/2026 21:25:16,1.17.3,FR1,76,4.18,nan,1,LeftWithPellet,Left,27,3,5,0,nan,nan,0.04
4/21/2026 21:29:10,1.17.3,FR1,76,4.18,1,1,Pellet,Left,27,3,6,0,Timed_out,1264,nan
4/21/2026 21:29:50,1.17.3,FR1,76,4.18,nan,1,Left,Left,28,3,6,0,nan,nan,0.15
4/21/2026 21:29:56,1.17.3,FR1,76,4.18,nan,1,LeftWithPellet,Left,29,3,6,0,nan,nan,0.05
4/21/2026 21:30:08,1.17.3,FR1,76,4.18,nan,1,LeftWithPellet,Left,30,3,6,0,nan,nan,0.11
4/21/2026 21:33:20,1.17.3,FR1,76,4.18,nan,1,LeftWithPellet,Left,31,3,6,0,nan,nan,0.10
4/21/2026 21:38:53,1.17.3,FR1,76,4.18,2,1,Pellet,Left,31,3,7,0,Timed_out,583,nan
4/21/2026 21:40:24,1.17.3,FR1,76,4.18,nan,1,Left,Left,32,3,7,0,nan,nan,0.05
4/21/2026 21:42:04,1.17.3,FR1,76,4.18,nan,1,LeftWithPellet,Left,33,3,7,0,nan,nan,0.08
4/21/2026 21:42:06,1.17.3,FR1,76,4.18,nan,1,LeftWithPellet,Left,34,3,7,0,nan,nan,0.03
4/21/2026 21:42:13,1.17.3,FR1,76,4.18,nan,1,LeftWithPellet,Left,35,3,7,0,nan,nan,0.01
4/21/2026 21:43:36,1.17.3,FR1,76,4.18,nan,1,LeftWithPellet,Left,36,3,7,0,nan,nan,0.38
4/21/2026 21:43:48,1.17.3,FR1,76,4.18,nan,1,LeftWithPellet,Left,37,3,7,0,nan,nan,0.08
4/21/2026 21:47:18,1.17.3,FR1,76,4.18,2,1,Pellet,Left,37,3,8,0,Timed_out,505,nan
4/21/2026 21:50:09,1.17.3,FR1,76,4.18,nan,1,Left,Left,38,3,8,0,nan,nan,0.07
4/21/2026 21:50:19,1.17.3,FR1,76,4.18,nan,1,LeftWithPellet,Left,39,3,8,0,nan,nan,0.12
4/21/2026 21:55:11,1.17.3,FR1,76,4.18,2,1,Pellet,Left,39,3,9,0,Timed_out,473,nan
4/21/2026 22:02:34,1.17.3,FR1,76,4.18,nan,1,Left,Left,40,3,9,0,nan,nan,0.28
4/21/2026 22:06:58,1.17.3,FR1,76,4.18,1,1,Pellet,Left,40,3,10,0,Timed_out,707,nan
4/21/2026 22:08:27,1.17.3,FR1,76,4.18,nan,1,Left,Left,41,3,10,0,nan,nan,0.13
4/21/2026 22:08:56,1.17.3,FR1,76,4.18,nan,1,RightWithPellet,Left,41,4,10,0,nan,nan,0.04
4/21/2026 22:17:19,1.17.3,FR1,76,4.18,1,1,Pellet,Left,41,4,11,0,Timed_out,621,nan
4/21/2026 22:51:14,1.17.3,FR1,76,4.18,nan,1,Left,Left,42,4,11,0,nan,nan,0.12
4/21/2026 22:51:16,1.17.3,FR1,76,4.18,2,1,Pellet,Left,42,4,12,0,1.31,2037,nan
4/21/2026 23:06:00,1.17.3,FR1,76,4.18,nan,1,Left,Left,43,4,12,0,nan,nan,0.01
4/21/2026 23:06:02,1.17.3,FR1,76,4.18,1,1,Pellet,Left,43,4,13,0,1.73,886,nan
4/21/2026 23:06:30,1.17.3,FR1,76,4.18,nan,1,Left,Left,44,4,13,0,nan,nan,0.14
4/21/2026 23:12:53,1.17.3,FR1,76,4.18,1,1,Pellet,Left,44,4,14,0,Timed_out,411,nan
4/21/2026 23:32:07,1.17.3,FR1,76,4.18,nan,1,Left,Left,45,4,14,0,nan,nan,0.20
4/21/2026 23:32:21,1.17.3,FR1,76,4.17,1,1,Pellet,Left,45,4,15,0,13.61,1168,nan
4/21/2026 23:41:15,1.17.3,FR1,76,4.18,nan,1,Left,Left,46,4,15,0,nan,nan,0.11
4/21/2026 23:47:00,1.17.3,FR1,76,4.17,nan,1,LeftWithPellet,Left,47,4,15,0,nan,nan,0.08
4/21/2026 23:48:35,1.17.3,FR1,76,4.17,1,1,Pellet,Left,47,4,16,0,Timed_out,974,nan
4/22/2026 0:29:00,1.17.3,FR1,76,4.17,nan,1,Left,Left,48,4,16,0,nan,nan,0.20
4/22/2026 0:43:03,1.17.3,FR1,76,4.17,1,1,Pellet,Left,48,4,17,0,Timed_out,3268,nan
4/22/2026 0:53:23,1.17.3,FR1,76,4.17,nan,1,Left,Left,49,4,17,0,nan,nan,0.06
4/22/2026 0:53:25,1.17.3,FR1,76,4.18,1,1,Pellet,Left,49,4,18,0,1.91,622,nan
4/22/2026 1:13:08,1.17.3,FR1,76,4.16,nan,1,Right,Left,49,5,18,0,nan,nan,0.09
4/22/2026 1:20:56,1.17.3,FR1,76,4.17,nan,1,Left,Left,50,5,18,0,nan,nan,0.24
4/22/2026 1:20:58,1.17.3,FR1,76,4.17,2,1,Pellet,Left,50,5,19,0,1.37,1653,nan
4/22/2026 1:21:22,1.17.3,FR1,76,4.17,nan,1,Left,Left,51,5,19,0,nan,nan,0.21
4/22/2026 1:31:20,1.17.3,FR1,76,4.17,1,1,Pellet,Left,51,5,20,0,Timed_out,622,nan
4/22/2026 2:10:30,1.17.3,FR1,76,4.17,nan,1,Left,Left,52,5,20,0,nan,nan,0.44
4/22/2026 2:20:15,1.17.3,FR1,76,4.16,3,1,Pellet,Left,52,5,21,0,Timed_out,2935,nan
4/22/2026 2:24:05,1.17.3,FR1,76,4.17,nan,1,Left,Left,53,5,21,0,nan,nan,0.00
4/22/2026 3:01:41,1.17.3,FR1,76,4.16,2,1,Pellet,Left,53,5,22,0,Timed_out,2486,nan
4/22/2026 3:02:31,1.17.3,FR1,76,4.16,nan,1,Left,Left,54,5,22,0,nan,nan,0.09
4/22/2026 3:19:13,1.17.3,FR1,76,4.17,2,1,Pellet,Left,54,5,23,0,Timed_out,1052,nan
4/22/2026 3:21:32,1.17.3,FR1,76,4.16,nan,1,Left,Left,55,5,23,0,nan,nan,0.14
