datetime,millis,device_id,library_version,battery_voltage,temperature_c,pressure_hpa,humidity_percent,lux,activity_count,activity_percent,inactivity_period_s,inactivity_count,inactivity_percent,min_free_heap,reboot
2025-11-16 00:05:09,3722,002,2.1.0,4.043,22.87,988.84,55.64,0.0000,149,0.248,40,4,0.518,265028,0
2025-11-16 00:15:11,3723,002,2.1.0,4.043,22.80,988.84,54.88,0.0000,69,0.115,40,9,0.839,265028,0
2025-11-16 00:25:14,3723,002,2.1.0,4.043,22.72,988.93,54.49,0.0000,9,0.015,40,12,0.982,265028,0
2025-11-16 00:35:17,3722,002,2.1.0,4.044,22.66,988.92,54.00,0.0000,1,0.002,40,14,0.998,265028,0
2025-11-16 00:45:20,3722,002,2.1.0,4.043,22.60,989.12,53.94,0.0000,4,0.007,40,13,0.992,265028,0
2025-11-16 00:55:22,3723,002,2.1.0,4.045,22.56,989.17,53.66,0.0000,2,0.003,40,14,0.996,265028,0
2025-11-16 01:05:25,3723,002,2.1.0,4.044,22.54,989.36,53.46,0.0000,2,0.003,40,14,0.996,265028,0
2025-11-16 01:15:28,3730,002,2.1.0,4.043,22.54,989.55,53.28,0.0000,42,0.070,40,9,0.896,265028,0
2025-11-16 01:25:31,3719,002,2.1.0,4.043,22.72,989.62,53.22,0.0000,217,0.361,40,1,0.156,265028,0
2025-11-16 01:35:33,3723,002,2.1.0,4.043,22.71,989.73,53.01,0.0000,55,0.092,40,11,0.889,265028,0
2025-11-16 01:45:36,3719,002,2.1.0,4.043,22.63,989.90,52.59,0.0000,4,0.007,40,13,0.992,265028,0
2025-11-16 01:55:39,3723,002,2.1.0,4.044,22.65,990.08,53.75,0.0000,59,0.098,40,8,0.844,265028,0
2025-11-16 02:05:42,3719,002,2.1.0,4.044,22.67,990.21,52.45,0.0000,118,0.196,40,5,0.629,265028,0
2025-11-16 02:15:45,3719,002,2.1.0,4.043,22.59,990.23,51.96,0.0000,0,0.000,40,14,1.000,265028,0
