Mouse_ID,Pellets_FR1,Left_Poke_FR1,Right_Poke_FR1,Total_Pokes_FR1,Accuracy_FR1,PokesPerPellet_FR1,RetrievalTime_FR1,InterPelletInterval_FR1,PokeTime_FR1,%MealPellets_FR1,%GrazingPellets_FR1,NumMeals_FR1,AvgMealSize_FR1,AvgMealDuration_FR1,MealsPerHour_FR1,Daily_Pellets_FR1,Left Poke with Pellet_FR1,Within_meal_pellet_rate_FR1,%MealPellets_Day_FR1,%GrazingPellets_Day_FR1,Pellets_Day_FR1,NumMeals_Day_FR1,AvgMealSize_Day_FR1,AvgMealDuration_Day_FR1,MealsPerHour_Day_FR1,Accuracy_Day_FR1,%MealPellets_Night_FR1,%GrazingPellets_Night_FR1,Pellets_Night_FR1,NumMeals_Night_FR1,AvgMealSize_Night_FR1,AvgMealDuration_Night_FR1,MealsPerHour_Night_FR1,Accuracy_Night_FR1
ChocoHFD_001_1,153,153,41,194,78.86597938,1.267973856,0.59,23,0.09,77.12418301,22.87581699,22,5.363636364,86.40909091,1.002696646,167.3549482,2,18.68180138,92.30769231,7.692307692,39,7,5.142857143,93.71428571,0.319039842,76.47058824,71.92982456,28.07017544,114,15,5.466666667,83,1.350236291,79.72027972
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChocoHFD_001_3,131,131,76,207,63.28502415,1.580152672,0.59,23.5,0.12,75.57251908,24.42748092,20,4.95,70.35,0.972053463,152.7284504,3,13.44583233,71.42857143,28.57142857,28,4,5,84.25,0.194410693,58.33333333,76.69902913,23.30097087,103,17,4.647058824,60,1.455410226,64.77987421
ChocoHFD_001_4,191,191,44,235,81.27659574,1.230366492,0.35,18,0.11,87.43455497,12.56544503,17,9.823529412,152.9411765,0.811165454,218.3492551,2,15.6208476,93.65079365,6.349206349,63,7,8.428571429,131.5714286,0.334009305,86.30136986,84.375,15.625,128,10,10.8,167.9,0.864719447,79.01234568
ChocoHFD_001_5,142,142,65,207,68.59903382,1.457746479,0.47,21,0.11,64.08450704,35.91549296,20,4.55,54.55,0.944187998,160.678925,0,13.96668818,66.66666667,33.33333333,18,2,6,83,0.0944188,81.81818182,63.70967742,36.29032258,124,18,4.388888889,51.38888889,1.538169389,67.02702703
ChocoHFD_001_6,151,151,47,198,76.26262626,1.311258278,0.41,15,0.09,82.1192053,17.8807947,12,10.33333333,133.3333333,0.600366891,181.1396201,2,10.82878253,89.36170213,10.63829787,47,5,8.4,105.6,0.250152871,78.33333333,78.84615385,21.15384615,104,7,11.71428571,153.1428571,0.605478136,75.36231884
ChocoHFD_001_7,131,131,79,210,62.38095238,1.603053435,0.65,24.5,0.135,60.30534351,39.69465649,12,6.583333333,91.5,0.548689876,143.5652858,1,14.55680695,83.33333333,16.66666667,24,4,5,73.75,0.182896625,68.57142857,55.14018692,44.85981308,107,8,7.375,100.375,0.743859287,61.14285714
ChocoHFD_001_8,166,166,46,212,78.30188679,1.277108434,0.77,23,0.14,66.26506024,33.73493976,23,4.782608696,61.08695652,1.026035019,177.5488982,1,12.78972269,71.79487179,28.20512821,39,4,7,110.5,0.178440873,92.85714286,64.56692913,35.43307087,127,19,4.315789474,50.68421053,1.672780631,74.70588235
ChocoHFD_001_9,159,159,57,216,73.61111111,1.358490566,0.47,39.5,0.08,61.00628931,38.99371069,21,4.619047619,63.95238095,1.226197814,182.6711345,0,14.25518758,23.07692308,76.92307692,13,1,3,44,0.058390372,36.11111111,64.38356164,35.61643836,146,20,4.7,64.95,1.829454213,81.11111111
ChocoHFD_001_10,150,150,108,258,58.13953488,1.72,0.71,20,0.14,60.66666667,39.33333333,14,6.5,79.42857143,0.636830002,163.3991048,1,10.43850109,84.61538462,15.38461538,39,6,5.5,66,0.272927144,76.47058824,52.25225225,47.74774775,111,8,7.25,89.5,0.725605301,53.62318841
ChocoHFD_001_11,148,148,85,233,63.5193133,1.574324324,0.53,31,0.12,73.64864865,26.35135135,23,4.739130435,79.56521739,1.011124815,156.0670784,1,15.21555488,58.82352941,41.17647059,34,4,5,73,0.175847794,50.74626866,78.07017544,21.92982456,114,19,4.684210526,80.94736842,1.658583899,68.6746988
ChocoHFD_001_12,174,174,98,272,63.97058824,1.563218391,0.59,24,0.105,67.81609195,32.18390805,16,7.375,132.25,0.713206706,185.9443414,1,18.38477384,72,28,25,3,6,116.6666667,0.133726257,86.20689655,67.11409396,32.88590604,149,13,7.692307692,135.8461538,1.163976422,61.31687243
ChocoHFD_001_13,161,161,119,280,57.5,1.739130435,0.59,26.5,0.11,68.32298137,31.67701863,16,6.875,111.875,0.765702891,184.4366954,10,20.56183957,70.27027027,29.72972973,37,4,6.5,129.25,0.191425723,82.60869565,67.74193548,32.25806452,124,12,7,106.0833333,1.027323964,52.56410256
