MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/6/2025 16:16:48,1.17.2,FR1,11,3.67,nan,1,Left,Left,1,0,0,0,nan,nan,0.47
11/6/2025 16:17:33,1.17.2,FR1,11,3.68,3,1,Pellet,Left,1,0,1,0,39.49,nan,nan
11/6/2025 16:19:27,1.17.2,FR1,11,3.68,nan,1,Left,Left,2,0,1,0,nan,nan,0.06
11/6/2025 16:19:28,1.17.2,FR1,11,3.67,1,1,Pellet,Left,2,0,2,0,1.19,116,nan
11/6/2025 16:22:35,1.17.2,FR1,11,3.68,nan,1,Right,Left,2,1,2,0,nan,nan,0.54
11/6/2025 16:23:54,1.17.2,FR1,11,3.69,nan,1,Right,Left,2,2,2,0,nan,nan,0.10
11/6/2025 16:25:26,1.17.2,FR1,11,3.68,nan,1,Right,Left,2,3,2,0,nan,nan,0.07
11/6/2025 16:26:53,1.17.2,FR1,11,3.68,nan,1,Left,Left,3,3,2,0,nan,nan,0.23
11/6/2025 16:26:54,1.17.2,FR1,11,3.68,1,1,Pellet,Left,3,3,3,0,0.53,446,nan
11/6/2025 16:27:56,1.17.2,FR1,11,3.67,nan,1,Left,Left,4,3,3,0,nan,nan,0.02
11/6/2025 16:27:58,1.17.2,FR1,11,3.68,1,1,Pellet,Left,4,3,4,0,0.89,64,nan
11/6/2025 16:40:04,1.17.2,FR1,11,3.68,nan,1,Right,Left,4,4,4,0,nan,nan,0.05
11/6/2025 16:40:05,1.17.2,FR1,11,3.68,nan,1,Right,Left,4,5,4,0,nan,nan,0.31
11/6/2025 16:40:31,1.17.2,FR1,11,3.68,nan,1,Right,Left,4,6,4,0,nan,nan,0.16
11/6/2025 16:40:33,1.17.2,FR1,11,3.68,nan,1,Right,Left,4,7,4,0,nan,nan,0.20
11/6/2025 16:40:37,1.17.2,FR1,11,3.68,nan,1,Right,Left,4,8,4,0,nan,nan,0.23
11/6/2025 16:40:39,1.17.2,FR1,11,3.68,nan,1,Right,Left,4,9,4,0,nan,nan,0.90
11/6/2025 16:40:41,1.17.2,FR1,11,3.68,nan,1,Right,Left,4,10,4,0,nan,nan,0.26
11/6/2025 16:40:44,1.17.2,FR1,11,3.68,nan,1,Right,Left,4,11,4,0,nan,nan,1.14
11/6/2025 16:40:57,1.17.2,FR1,11,3.68,nan,1,Left,Left,5,11,4,0,nan,nan,0.14
11/6/2025 16:41:03,1.17.2,FR1,11,3.68,1,1,Pellet,Left,5,11,5,0,5.43,785,nan
11/6/2025 16:42:48,1.17.2,FR1,11,3.68,nan,1,Right,Left,5,12,5,0,nan,nan,0.13
11/6/2025 17:09:40,1.17.2,FR1,11,3.69,nan,1,Right,Left,5,13,5,0,nan,nan,0.57
11/6/2025 17:28:05,1.17.2,FR1,11,3.68,nan,1,Right,Left,5,14,5,0,nan,nan,0.25
11/6/2025 17:28:06,1.17.2,FR1,11,3.68,nan,1,Right,Left,5,15,5,0,nan,nan,0.24
11/6/2025 17:28:12,1.17.2,FR1,11,3.67,nan,1,Left,Left,6,15,5,0,nan,nan,0.00
11/6/2025 17:28:14,1.17.2,FR1,11,3.68,1,1,Pellet,Left,6,15,6,0,1.43,2831,nan
11/6/2025 17:28:35,1.17.2,FR1,11,3.67,nan,1,Left,Left,7,15,6,0,nan,nan,0.03
11/6/2025 17:28:37,1.17.2,FR1,11,3.67,1,1,Pellet,Left,7,15,7,0,1.31,23,nan
11/6/2025 17:28:48,1.17.2,FR1,11,3.68,nan,1,Right,Left,7,16,7,0,nan,nan,0.09
