MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-11-06 16:28:00,1.17.2,FR1,18,3.58,,1,Left,Left,1,0,0,0,,,0.36
2025-11-06 16:31:11,1.17.2,FR1,18,3.58,,1,LeftWithPellet,Left,2,0,0,0,,,0.37
2025-11-06 16:31:13,1.17.2,FR1,18,3.58,1.0,1,Pellet,Left,2,0,1,0,,,
2025-11-06 16:39:01,1.17.2,FR1,18,3.58,,1,Right,Left,2,1,1,0,,,0.01
2025-11-06 16:39:08,1.17.2,FR1,18,3.58,,1,Right,Left,2,2,1,0,,,0.08
2025-11-06 16:45:39,1.17.2,FR1,18,3.58,,1,Right,Left,2,3,1,0,,,0.17
2025-11-06 16:46:22,1.17.2,FR1,18,3.58,,1,Right,Left,2,4,1,0,,,0.08
2025-11-06 16:46:38,1.17.2,FR1,18,3.58,,1,Left,Left,3,4,1,0,,,0.04
2025-11-06 16:46:38,1.17.2,FR1,18,3.58,,1,LeftDuringDispense,Left,4,4,1,0,,,0.12
2025-11-06 16:46:42,1.17.2,FR1,18,3.58,2.0,1,Pellet,Left,4,4,2,0,1.07,929.0,
2025-11-06 16:47:03,1.17.2,FR1,18,3.58,,1,Left,Left,5,4,2,0,,,0.03
2025-11-06 16:47:04,1.17.2,FR1,18,3.58,,1,LeftDuringDispense,Left,6,4,2,0,,,0.12
2025-11-06 16:47:07,1.17.2,FR1,18,3.58,2.0,1,Pellet,Left,6,4,3,0,0.35,25.0,
2025-11-06 16:47:18,1.17.2,FR1,18,3.58,,1,Left,Left,7,4,3,0,,,0.06
2025-11-06 16:47:19,1.17.2,FR1,18,3.58,1.0,1,Pellet,Left,7,4,4,0,0.23,11.0,
2025-11-06 16:47:33,1.17.2,FR1,18,3.58,,1,Left,Left,8,4,4,0,,,0.39
2025-11-06 16:47:35,1.17.2,FR1,18,3.58,1.0,1,Pellet,Left,8,4,5,0,0.47,17.0,
2025-11-06 16:47:42,1.17.2,FR1,18,3.58,,1,Right,Left,8,5,5,0,,,0.16
2025-11-06 16:47:47,1.17.2,FR1,18,3.58,,1,Right,Left,8,6,5,0,,,0.46
2025-11-06 16:48:10,1.17.2,FR1,18,3.58,,1,Left,Left,9,6,5,0,,,0.1
2025-11-06 16:48:11,1.17.2,FR1,18,3.58,1.0,1,Pellet,Left,9,6,6,0,0.29,36.0,
2025-11-06 16:48:19,1.17.2,FR1,18,3.58,,1,Left,Left,10,6,6,0,,,0.08
2025-11-06 16:48:20,1.17.2,FR1,18,3.58,1.0,1,Pellet,Left,10,6,7,0,0.17,9.0,
2025-11-06 18:02:23,1.17.2,FR1,18,3.58,,1,Right,Left,10,7,7,0,,,0.39
2025-11-06 18:02:41,1.17.2,FR1,18,3.58,,1,Right,Left,10,8,7,0,,,0.02
2025-11-06 18:02:46,1.17.2,FR1,18,3.59,,1,Left,Left,11,8,7,0,,,0.65
2025-11-06 18:02:46,1.17.2,FR1,18,3.58,1.0,1,Pellet,Left,11,8,8,0,0.06,4466.0,
2025-11-06 18:02:57,1.17.2,FR1,18,3.58,,1,Right,Left,11,9,8,0,,,0.14
2025-11-06 18:02:59,1.17.2,FR1,18,3.58,,1,Right,Left,11,10,8,0,,,0.62
2025-11-06 18:03:04,1.17.2,FR1,18,3.58,,1,Left,Left,12,10,8,0,,,0.17
2025-11-06 18:03:05,1.17.2,FR1,18,3.58,2.0,1,Pellet,Left,12,10,9,0,0.06,19.0,
2025-11-06 18:03:20,1.17.2,FR1,18,3.58,,1,Left,Left,13,10,9,0,,,0.05
2025-11-06 18:03:21,1.17.2,FR1,18,3.58,1.0,1,Pellet,Left,13,10,10,0,0.29,16.0,
2025-11-06 18:04:59,1.17.2,FR1,18,3.58,,1,Left,Left,14,10,10,0,,,0.09
2025-11-06 18:39:04,1.17.2,FR1,18,3.58,,1,RightWithPellet,Left,14,11,10,0,,,0.04
2025-11-06 18:39:05,1.17.2,FR1,18,3.58,1.0,1,Pellet,Left,14,11,11,0,,2144.0,
2025-11-06 18:39:16,1.17.2,FR1,18,3.58,,1,Right,Left,14,12,11,0,,,0.04
2025-11-06 18:39:20,1.17.2,FR1,18,3.58,,1,Left,Left,15,12,11,0,,,0.17
2025-11-06 18:39:21,1.17.2,FR1,18,3.58,1.0,1,Pellet,Left,15,12,12,0,0.35,16.0,
2025-11-06 18:39:29,1.17.2,FR1,18,3.58,,1,Right,Left,15,13,12,0,,,0.1
2025-11-06 18:39:31,1.17.2,FR1,18,3.58,,1,Right,Left,15,14,12,0,,,0.69
2025-11-06 18:39:35,1.17.2,FR1,18,3.58,,1,Left,Left,16,14,12,0,,,0.24
2025-11-06 18:39:37,1.17.2,FR1,18,3.58,1.0,1,Pellet,Left,16,14,13,0,1.37,16.0,
