MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/12/2025 16:41:25,1.17.2,PR1,17,3.88,nan,1,Right,Left,0,1,0,0,nan,nan,0.18
11/12/2025 16:41:36,1.17.2,PR1,17,3.88,nan,1,Left,Left,1,1,0,0,nan,nan,0.06
11/12/2025 16:41:36,1.17.2,PR1,17,3.88,nan,1,LeftDuringDispense,Left,2,1,0,1,nan,nan,0.14
11/12/2025 16:41:40,1.17.2,PR1,17,3.88,2,1,Pellet,Left,2,1,1,1,1.43,nan,nan
11/12/2025 16:41:55,1.17.2,PR1,17,3.88,nan,2,Right,Left,2,2,1,1,nan,nan,0.55
11/12/2025 16:43:50,1.17.2,PR1,17,3.88,nan,2,Left,Left,3,2,1,1,nan,nan,0.08
11/12/2025 16:43:52,1.17.2,PR1,17,3.88,nan,2,Left,Left,4,2,1,1,nan,nan,0.08
11/12/2025 16:43:52,1.17.2,PR1,17,3.89,nan,2,LeftDuringDispense,Left,5,2,1,2,nan,nan,0.05
11/12/2025 16:53:48,1.17.2,PR1,17,3.87,nan,2,LeftWithPellet,Left,6,2,1,2,nan,nan,0.30
11/12/2025 17:04:13,1.17.2,PR1,17,3.88,3,2,Pellet,Left,6,2,2,2,Timed_out,1353,nan
11/12/2025 17:04:42,1.17.2,PR1,17,3.87,nan,3,Left,Left,7,2,2,2,nan,nan,0.08
11/12/2025 17:04:42,1.17.2,PR1,17,3.88,nan,3,Left,Left,8,2,2,2,nan,nan,0.11
11/12/2025 18:00:48,1.17.2,PR1,17,3.88,nan,1,Right,Left,8,3,2,0,nan,nan,0.21
11/12/2025 18:00:50,1.17.2,PR1,17,3.87,nan,1,Right,Left,8,4,2,0,nan,nan,0.04
11/12/2025 18:00:57,1.17.2,PR1,17,3.87,nan,1,Left,Left,9,4,2,0,nan,nan,0.08
11/12/2025 18:00:59,1.17.2,PR1,17,3.87,1,1,Pellet,Left,9,4,3,1,1.37,3406,nan
11/12/2025 18:01:09,1.17.2,PR1,17,3.88,nan,2,Right,Left,9,5,3,1,nan,nan,0.06
11/12/2025 18:01:11,1.17.2,PR1,17,3.88,nan,2,Right,Left,9,6,3,1,nan,nan,0.33
11/12/2025 18:01:13,1.17.2,PR1,17,3.88,nan,2,Right,Left,9,7,3,1,nan,nan,0.11
11/12/2025 18:01:17,1.17.2,PR1,17,3.88,nan,2,Right,Left,9,8,3,1,nan,nan,0.18
