MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-11-12 16:23:39,1.17.2,PR1,1,3.92,,1,Right,Left,0,1,0,0,,,0.22
2025-11-12 16:27:10,1.17.2,PR1,1,3.92,,1,Left,Left,1,1,0,0,,,0.22
2025-11-12 16:27:11,1.17.2,PR1,1,3.92,2.0,1,Pellet,Left,1,1,1,1,0.29,,
2025-11-12 16:29:09,1.17.2,PR1,1,3.92,,2,Right,Left,1,2,1,1,,,0.36
2025-11-12 16:32:04,1.17.2,PR1,1,3.92,,2,Left,Left,2,2,1,1,,,0.07
2025-11-12 17:51:37,1.17.2,PR1,1,3.91,,1,Left,Left,3,2,1,0,,,0.02
2025-11-12 17:51:38,1.17.2,PR1,1,3.92,,1,LeftDuringDispense,Left,4,2,1,1,,,0.06
2025-11-12 17:51:45,1.17.2,PR1,1,3.91,5.0,1,Pellet,Left,4,2,2,1,0.17,5074.0,
2025-11-12 17:51:53,1.17.2,PR1,1,3.91,,2,Left,Left,5,2,2,1,,,0.12
2025-11-12 17:51:56,1.17.2,PR1,1,3.91,,2,Left,Left,6,2,2,1,,,0.08
2025-11-12 17:51:57,1.17.2,PR1,1,3.91,2.0,2,Pellet,Left,6,2,3,2,0.29,12.0,
2025-11-12 17:52:11,1.17.2,PR1,1,3.91,,3,Left,Left,7,2,3,2,,,0.14
2025-11-12 17:52:14,1.17.2,PR1,1,3.91,,3,Left,Left,8,2,3,2,,,0.3
2025-11-12 17:52:16,1.17.2,PR1,1,3.91,,3,Right,Left,8,3,3,2,,,0.22
2025-11-12 17:52:20,1.17.2,PR1,1,3.91,,3,Right,Left,8,4,3,2,,,0.16
2025-11-12 17:52:24,1.17.2,PR1,1,3.92,,3,Left,Left,9,4,3,2,,,0.28
2025-11-12 17:52:24,1.17.2,PR1,1,3.91,,3,LeftDuringDispense,Left,10,4,3,3,,,0.03
2025-11-12 17:52:40,1.17.2,PR1,1,3.91,,3,LeftWithPellet,Left,11,4,3,3,,,0.06
2025-11-12 17:52:41,1.17.2,PR1,1,3.91,3.0,3,Pellet,Left,11,4,4,3,11.97,44.0,
2025-11-12 17:53:00,1.17.2,PR1,1,3.91,,4,Left,Left,12,4,4,3,,,0.27
2025-11-12 17:53:07,1.17.2,PR1,1,3.91,,4,Left,Left,13,4,4,3,,,0.11
2025-11-12 18:18:54,1.17.2,PR1,1,3.91,,4,Right,Left,13,5,4,3,,,0.26
2025-11-12 18:19:00,1.17.2,PR1,1,3.91,,4,Right,Left,13,6,4,3,,,0.16
2025-11-12 18:20:36,1.17.2,PR1,1,3.92,,4,Left,Left,14,6,4,3,,,0.12
