MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/10/2025 18:10:02,1.17.2,Bandit80,5,4.03,nan,20,20,80,Right,Right,0,1,0,0,nan,nan,0.74
11/10/2025 18:10:03,1.17.2,Bandit80,5,4.03,nan,20,20,80,RightDuringDispense,Right,0,1,0,0,nan,nan,0.24
11/10/2025 18:10:40,1.17.2,Bandit80,5,4.03,nan,20,20,80,LeftWithPellet,Right,0,1,0,0,nan,nan,0.23
11/10/2025 18:10:41,1.17.2,Bandit80,5,4.03,4,20,20,80,Pellet,Right,0,1,1,0,33.34,nan,nan
11/10/2025 18:12:35,1.17.2,Bandit80,5,4.03,nan,20,20,80,Right,Right,0,2,1,1,nan,nan,0.29
11/10/2025 18:12:36,1.17.2,Bandit80,5,4.03,2,20,20,80,Pellet,Right,0,2,2,1,0.83,115,nan
11/10/2025 18:13:33,1.17.2,Bandit80,5,4.03,nan,20,20,80,Left,Right,1,2,2,2,nan,nan,0.35
11/10/2025 18:15:09,1.17.2,Bandit80,5,4.03,nan,20,20,80,Left,Right,2,2,2,2,nan,nan,0.17
11/10/2025 18:15:09,1.17.2,Bandit80,5,4.03,nan,20,20,80,LeftinTimeOut,Right,2,2,2,2,nan,nan,nan
11/10/2025 18:33:49,1.17.2,Bandit80,5,4.03,nan,20,20,80,Left,Right,3,2,2,2,nan,nan,0.17
11/10/2025 18:37:17,1.17.2,Bandit80,5,4.03,nan,20,20,80,Left,Right,4,2,2,2,nan,nan,0.41
11/10/2025 18:37:25,1.17.2,Bandit80,5,4.03,nan,20,20,80,RightinTimeout,Right,4,2,2,2,nan,nan,0.00
11/10/2025 18:37:25,1.17.2,Bandit80,5,4.03,nan,20,20,80,RightinTimeout,Right,4,2,2,2,nan,nan,0.00
11/10/2025 18:37:25,1.17.2,Bandit80,5,4.03,nan,20,20,80,RightinTimeout,Right,4,2,2,2,nan,nan,0.00
11/10/2025 18:37:26,1.17.2,Bandit80,5,4.03,nan,20,20,80,RightinTimeout,Right,4,2,2,2,nan,nan,0.00
11/10/2025 18:37:26,1.17.2,Bandit80,5,4.03,nan,20,20,80,RightinTimeout,Right,4,2,2,2,nan,nan,0.00
11/10/2025 18:37:26,1.17.2,Bandit80,5,4.03,nan,20,20,80,RightinTimeout,Right,4,2,2,2,nan,nan,0.00
11/10/2025 18:38:54,1.17.2,Bandit80,5,4.03,nan,20,20,80,Right,Right,4,3,2,2,nan,nan,0.53
11/10/2025 18:38:56,1.17.2,Bandit80,5,4.03,1,20,20,80,Pellet,Right,4,3,3,2,0.71,1580,nan
11/10/2025 18:41:28,1.17.2,Bandit80,5,4.04,nan,20,20,80,Right,Right,4,4,3,3,nan,nan,0.43
11/10/2025 18:42:31,1.17.2,Bandit80,5,4.03,nan,20,20,80,Left,Right,5,4,3,3,nan,nan,0.06
11/10/2025 18:43:04,1.17.2,Bandit80,5,4.03,nan,20,20,80,Left,Right,6,4,3,3,nan,nan,0.44
11/10/2025 18:43:22,1.17.2,Bandit80,5,4.03,nan,20,20,80,Right,Right,6,5,3,3,nan,nan,0.18
11/10/2025 18:43:23,1.17.2,Bandit80,5,4.03,1,20,20,80,Pellet,Right,6,5,4,3,0.47,267,nan
11/10/2025 18:43:37,1.17.2,Bandit80,5,4.03,nan,20,20,80,Right,Right,6,6,4,4,nan,nan,0.03
11/10/2025 18:46:09,1.17.2,Bandit80,5,4.03,nan,20,20,80,Left,Right,7,6,4,4,nan,nan,0.10
11/10/2025 18:46:50,1.17.2,Bandit80,5,4.03,nan,20,20,80,Right,Right,7,7,4,4,nan,nan,0.00
11/10/2025 18:46:51,1.17.2,Bandit80,5,4.03,1,20,20,80,Pellet,Right,7,7,5,4,0.29,208,nan
11/10/2025 18:47:05,1.17.2,Bandit80,5,4.03,nan,20,20,80,Left,Right,8,7,5,5,nan,nan,0.07
11/10/2025 18:56:02,1.17.2,Bandit80,5,4.03,nan,20,20,80,Left,Right,9,7,5,5,nan,nan,0.30
11/10/2025 19:00:44,1.17.2,Bandit80,5,4.03,nan,20,20,80,Left,Right,10,7,5,5,nan,nan,0.14
11/10/2025 19:01:17,1.17.2,Bandit80,5,4.03,nan,20,20,80,Left,Right,11,7,5,5,nan,nan,0.24
11/10/2025 19:02:46,1.17.2,Bandit80,5,4.03,nan,20,20,80,Left,Right,12,7,5,5,nan,nan,0.48
