MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/7/2025 17:09:41,1.17.2,FreeFeed,12,3.94,5,1,Pellet,Left,0,0,1,0,Timed_out,nan,nan
11/7/2025 17:09:54,1.17.2,FreeFeed,12,3.94,2,1,Pellet,Left,0,0,2,0,0.27,13,nan
11/7/2025 17:10:04,1.17.2,FreeFeed,12,3.94,nan,1,RightDuringDispense,Left,0,1,2,0,nan,nan,0.02
11/7/2025 17:10:08,1.17.2,FreeFeed,12,3.94,2,1,Pellet,Left,0,1,3,0,0.94,14,nan
11/7/2025 17:10:15,1.17.2,FreeFeed,12,3.94,nan,1,RightDuringDispense,Left,0,2,3,0,nan,nan,0.04
11/7/2025 17:10:20,1.17.2,FreeFeed,12,3.94,2,1,Pellet,Left,0,2,4,0,1.94,12,nan
11/7/2025 17:12:11,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,0,2,5,0,Timed_out,111,nan
11/7/2025 17:12:51,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,0,2,6,0,28.28,40,nan
11/7/2025 17:13:08,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,0,2,7,0,5.67,17,nan
11/7/2025 17:18:57,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,0,2,8,0,Timed_out,349,nan
11/7/2025 17:25:19,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,0,2,9,0,Timed_out,382,nan
11/7/2025 17:25:42,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,0,2,10,0,10.30,23,nan
11/7/2025 17:25:55,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,0,2,11,0,1.33,13,nan
11/7/2025 18:08:50,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,0,2,12,0,Timed_out,2575,nan
11/7/2025 18:09:04,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,0,2,13,0,2.83,14,nan
11/7/2025 18:09:19,1.17.2,FreeFeed,12,3.94,2,1,Pellet,Left,0,2,14,0,3.11,15,nan
11/7/2025 18:09:31,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,0,2,15,0,0.66,12,nan
11/7/2025 18:09:50,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,0,2,16,0,6.95,19,nan
11/7/2025 18:10:02,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,0,2,17,0,0.60,12,nan
11/7/2025 18:24:04,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,0,2,18,0,Timed_out,842,nan
11/7/2025 18:25:10,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,0,2,19,0,54.83,66,nan
11/7/2025 18:25:22,1.17.2,FreeFeed,12,3.94,nan,1,LeftDuringDispense,Left,1,2,19,0,nan,nan,0.02
11/7/2025 18:32:11,1.17.2,FreeFeed,12,3.94,2,1,Pellet,Left,1,2,20,0,Timed_out,421,nan
11/7/2025 18:32:28,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,1,2,21,0,5.67,17,nan
11/7/2025 18:34:13,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,1,2,22,0,Timed_out,105,nan
11/7/2025 18:44:34,1.17.2,FreeFeed,12,3.94,nan,1,LeftWithPellet,Left,2,2,22,0,nan,nan,0.06
11/7/2025 18:47:35,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,2,2,23,0,Timed_out,802,nan
11/7/2025 18:48:11,1.17.2,FreeFeed,12,3.94,nan,1,LeftWithPellet,Left,3,2,23,0,nan,nan,0.06
11/7/2025 18:48:12,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,3,2,24,0,25.54,37,nan
11/7/2025 18:56:30,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,3,2,25,0,Timed_out,498,nan
11/7/2025 18:56:44,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,3,2,26,0,2.11,14,nan
11/7/2025 18:57:01,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,3,2,27,0,5.45,17,nan
11/7/2025 18:57:24,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,3,2,28,0,10.91,23,nan
11/7/2025 18:57:41,1.17.2,FreeFeed,12,3.94,2,1,Pellet,Left,3,2,29,0,3.11,17,nan
11/7/2025 18:58:05,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,3,2,30,0,11.81,23,nan
11/7/2025 19:01:36,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,3,2,31,0,Timed_out,211,nan
11/7/2025 19:07:22,1.17.2,FreeFeed,12,3.94,2,1,Pellet,Left,3,2,32,0,Timed_out,347,nan
11/7/2025 19:12:49,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,3,2,33,0,Timed_out,327,nan
11/7/2025 19:13:04,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,3,2,34,0,2.94,15,nan
11/7/2025 19:13:17,1.17.2,FreeFeed,12,3.93,1,1,Pellet,Left,3,2,35,0,1.60,13,nan
11/7/2025 19:26:46,1.17.2,FreeFeed,12,3.94,1,1,Pellet,Left,3,2,36,0,Timed_out,809,nan
