datetime,millis,device_id,library_version,battery_voltage,temperature_c,pressure_hpa,humidity_percent,lux,activity_count,activity_percent,inactivity_period_s,inactivity_count,inactivity_percent,min_free_heap,reboot
2025-11-15 00:00:07,3639,011,2.1.0,4.024,23.00,989.36,55.27,0.0000,0,0.000,40,15,1.000,264932,0
2025-11-15 00:10:09,3639,011,2.1.0,4.024,23.01,989.18,55.58,0.0000,0,0.000,40,15,1.000,264932,0
2025-11-15 00:20:13,3639,011,2.1.0,4.025,23.02,989.09,55.59,0.0000,0,0.000,40,15,1.000,264932,0
2025-11-15 00:30:16,3639,011,2.1.0,4.024,23.05,988.82,55.57,0.0000,0,0.000,40,15,1.000,264932,0
2025-11-15 00:40:19,3639,011,2.1.0,4.023,23.06,988.54,55.62,0.0000,0,0.000,40,15,1.000,264932,0
2025-11-15 00:50:22,3639,011,2.1.0,4.025,23.07,988.45,55.65,0.0000,0,0.000,40,15,1.000,264932,0
2025-11-15 01:00:24,3639,011,2.1.0,4.024,23.09,988.67,55.45,0.0000,0,0.000,40,15,1.000,264932,0
2025-11-15 01:10:28,3639,011,2.1.0,4.025,23.10,988.66,55.54,0.0000,0,0.000,40,15,1.000,264932,0
2025-11-15 01:20:31,3639,011,2.1.0,4.025,23.12,988.58,55.29,0.0000,0,0.000,40,15,1.000,264932,0
2025-11-15 01:30:34,3639,011,2.1.0,4.026,23.15,988.40,55.34,0.0000,0,0.000,40,15,1.000,264932,0
2025-11-15 01:40:36,3639,011,2.1.0,4.026,23.18,988.40,54.92,0.0000,0,0.000,40,15,1.000,264932,0
2025-11-15 01:50:39,3639,011,2.1.0,4.024,23.19,988.29,55.17,0.0000,0,0.000,40,15,1.000,264932,0
2025-11-15 02:00:42,3639,011,2.1.0,4.024,23.21,988.31,55.08,0.0000,4,0.007,40,14,0.993,264932,0
2025-11-15 02:10:45,3639,011,2.1.0,4.025,23.22,988.12,55.20,0.0000,0,0.000,40,15,1.000,264932,0
2025-11-15 02:20:47,3639,011,2.1.0,4.024,23.23,987.91,55.04,0.0000,0,0.000,40,15,1.000,264932,0
2025-11-15 02:30:50,3639,011,2.1.0,4.025,23.23,987.91,55.63,0.0000,0,0.000,40,15,1.000,264932,0
2025-11-15 02:40:53,3639,011,2.1.0,4.024,23.23,987.82,55.01,0.0000,0,0.000,40,15,1.000,264932,0
2025-11-15 02:51:53,3639,011,2.1.0,4.025,23.35,987.77,54.50,0.0000,4,0.007,40,14,0.993,264932,0
2025-11-15 03:01:57,3639,011,2.1.0,4.024,23.29,987.68,54.69,0.0000,0,0.000,40,15,1.000,264932,0
2025-11-15 03:12:00,3639,011,2.1.0,4.024,23.28,987.65,54.67,0.0000,0,0.000,40,15,1.000,264932,0
2025-11-15 03:22:03,3639,011,2.1.0,4.023,23.26,987.62,54.61,0.0000,0,0.000,40,15,1.000,264932,0
2025-11-15 03:32:06,3639,011,2.1.0,4.024,23.25,987.72,54.85,0.0000,0,0.000,40,15,1.000,264932,0
2025-11-15 03:42:08,3639,011,2.1.0,4.026,23.24,987.55,55.20,0.0000,0,0.000,40,15,1.000,264932,0
2025-11-15 03:52:11,3639,011,2.1.0,4.024,23.23,987.29,55.20,0.0000,0,0.000,40,15,1.000,264932,0
2025-11-15 04:02:14,3639,011,2.1.0,4.025,23.23,987.17,54.89,0.0000,0,0.000,40,15,1.000,264932,0
2025-11-15 04:12:17,3639,011,2.1.0,4.024,23.21,987.12,54.72,0.0000,0,0.000,40,15,1.000,264932,0
2025-11-15 04:22:20,3639,011,2.1.0,4.025,23.21,986.92,55.40,0.0000,27,0.045,40,11,0.942,264932,0
2025-11-15 04:32:23,3639,011,2.1.0,4.026,23.20,986.91,55.38,0.0000,10,0.017,40,13,0.981,264932,0
2025-11-15 04:42:26,3639,011,2.1.0,4.023,23.19,986.84,55.03,0.0000,8,0.013,40,14,0.986,264932,0
2025-11-15 04:52:29,3647,011,2.1.0,4.025,23.16,986.79,55.45,0.0000,72,0.120,40,7,0.795,264932,0
2025-11-15 05:02:33,3639,011,2.1.0,4.024,23.14,986.59,55.42,0.0000,52,0.086,40,11,0.894,264932,0
2025-11-15 05:12:35,3639,011,2.1.0,4.024,23.14,986.46,55.46,0.0000,100,0.166,40,6,0.706,264932,0
