MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/3/2025 19:22:10,1.17.2,Bandit100,20,3.87,nan,20,0,100,Right,Right,0,1,0,0,nan,nan,0.29
11/3/2025 19:25:28,1.17.2,Bandit100,20,3.87,3,20,0,100,Pellet,Right,0,1,1,0,Timed_out,nan,nan
11/3/2025 19:27:47,1.17.2,Bandit100,20,3.87,nan,20,0,100,Left,Right,1,1,1,1,nan,nan,0.38
11/3/2025 19:28:33,1.17.2,Bandit100,20,3.87,nan,20,0,100,Left,Right,2,1,1,1,nan,nan,0.46
11/3/2025 19:29:08,1.17.2,Bandit100,20,3.87,nan,20,0,100,Right,Right,2,2,1,1,nan,nan,0.00
11/3/2025 19:29:36,1.17.2,Bandit100,20,3.87,3,20,0,100,Pellet,Right,2,2,2,1,23.28,248,nan
11/3/2025 19:33:07,1.17.2,Bandit100,20,3.87,nan,20,0,100,Left,Right,3,2,2,2,nan,nan,0.07
11/3/2025 19:34:17,1.17.2,Bandit100,20,3.87,nan,20,0,100,Right,Right,3,3,2,2,nan,nan,0.62
11/3/2025 19:35:22,1.17.2,Bandit100,20,3.87,1,20,0,100,Pellet,Right,3,3,3,2,Timed_out,346,nan
11/3/2025 19:36:56,1.17.2,Bandit100,20,3.87,nan,20,0,100,Left,Right,4,3,3,3,nan,nan,0.02
11/3/2025 19:43:52,1.17.2,Bandit100,20,3.87,nan,20,0,100,Right,Right,4,4,3,3,nan,nan,0.00
11/3/2025 19:44:15,1.17.2,Bandit100,20,3.87,1,20,0,100,Pellet,Right,4,4,4,3,22.36,533,nan
11/3/2025 19:50:47,1.17.2,Bandit100,20,3.87,nan,20,0,100,Right,Right,4,5,4,4,nan,nan,0.00
11/3/2025 19:50:53,1.17.2,Bandit100,20,3.87,1,20,0,100,Pellet,Right,4,5,5,4,5.08,398,nan
11/3/2025 19:52:38,1.17.2,Bandit100,20,3.87,nan,20,0,100,Left,Right,5,5,5,5,nan,nan,0.03
11/3/2025 19:53:03,1.17.2,Bandit100,20,3.87,nan,20,0,100,Right,Right,5,6,5,5,nan,nan,0.05
11/3/2025 19:53:41,1.17.2,Bandit100,20,3.87,1,20,0,100,Pellet,Right,5,6,6,5,37.36,168,nan
11/3/2025 19:56:25,1.17.2,Bandit100,20,3.87,nan,20,0,100,Left,Right,6,6,6,6,nan,nan,0.92
11/3/2025 19:57:26,1.17.2,Bandit100,20,3.87,nan,20,0,100,Left,Right,7,6,6,6,nan,nan,0.05
11/3/2025 19:58:15,1.17.2,Bandit100,20,3.87,nan,20,0,100,Right,Right,7,7,6,6,nan,nan,0.23
