MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/4/2025 15:11:21,1.17.2,Bandit100,3,3.73,nan,20,0,100,Right,Right,0,1,0,0,nan,nan,0.34
11/4/2025 15:11:52,1.17.2,Bandit100,3,3.72,11,20,0,100,Pellet,Right,0,1,1,0,0.95,nan,nan
11/4/2025 15:12:03,1.17.2,Bandit100,3,3.69,nan,20,0,100,Right,Right,0,2,1,1,nan,nan,0.26
11/4/2025 15:12:17,1.17.2,Bandit100,3,3.72,7,20,0,100,Pellet,Right,0,2,2,1,2.08,25,nan
11/4/2025 15:12:18,1.17.2,Bandit100,3,3.71,nan,20,0,100,Right,Right,0,3,2,2,nan,nan,0.28
11/4/2025 15:12:24,1.17.2,Bandit100,3,3.71,4,20,0,100,Pellet,Right,0,3,3,2,0.83,7,nan
11/4/2025 15:12:26,1.17.2,Bandit100,3,3.72,nan,20,0,100,Right,Right,0,4,3,3,nan,nan,0.26
11/4/2025 15:12:44,1.17.2,Bandit100,3,3.72,9,20,0,100,Pellet,Right,0,4,4,3,1.07,20,nan
11/4/2025 15:12:46,1.17.2,Bandit100,3,3.73,nan,20,0,100,Right,Right,0,5,4,4,nan,nan,0.25
11/4/2025 15:12:54,1.17.2,Bandit100,3,3.72,3,20,0,100,Pellet,Right,0,5,5,4,4.66,10,nan
11/4/2025 15:12:56,1.17.2,Bandit100,3,3.71,nan,20,0,100,Right,Right,0,6,5,5,nan,nan,0.45
11/4/2025 15:13:01,1.17.2,Bandit100,3,3.72,3,20,0,100,Pellet,Right,0,6,6,5,0.83,7,nan
