MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/7/2025 17:01:43,1.17.2,FreeFeed,5,3.98,nan,1,LeftWithPellet,Left,1,0,0,0,nan,nan,0.65
11/7/2025 17:01:50,1.17.2,FreeFeed,5,3.98,nan,1,LeftWithPellet,Left,2,0,0,0,nan,nan,0.17
11/7/2025 17:02:38,1.17.2,FreeFeed,5,3.98,2,1,Pellet,Left,2,0,1,0,Timed_out,nan,nan
11/7/2025 17:02:44,1.17.2,FreeFeed,5,3.98,1,1,Pellet,Left,2,0,2,0,0.05,6,nan
11/7/2025 17:02:46,1.17.2,FreeFeed,5,3.98,nan,1,RightinTimeout,Left,2,1,2,0,nan,nan,0.00
11/7/2025 17:02:49,1.17.2,FreeFeed,5,3.98,nan,1,RightinTimeout,Left,2,2,2,0,nan,nan,0.00
11/7/2025 17:02:50,1.17.2,FreeFeed,5,3.98,1,1,Pellet,Left,2,2,3,0,0.05,6,nan
11/7/2025 17:02:54,1.17.2,FreeFeed,5,3.98,nan,1,LeftinTimeOut,Left,3,2,3,0,nan,nan,nan
11/7/2025 17:03:31,1.17.2,FreeFeed,5,3.98,nan,1,RightWithPellet,Left,3,3,3,0,nan,nan,0.10
11/7/2025 17:03:32,1.17.2,FreeFeed,5,3.98,nan,1,RightWithPellet,Left,3,4,3,0,nan,nan,0.05
11/7/2025 17:04:05,1.17.2,FreeFeed,5,3.98,1,1,Pellet,Left,3,4,4,0,Timed_out,75,nan
11/7/2025 17:04:20,1.17.2,FreeFeed,5,3.98,2,1,Pellet,Left,3,4,5,0,2.05,15,nan
11/7/2025 17:05:00,1.17.2,FreeFeed,5,3.98,1,1,Pellet,Left,3,4,6,0,28.05,40,nan
11/7/2025 17:05:13,1.17.2,FreeFeed,5,3.98,1,1,Pellet,Left,3,4,7,0,1.32,13,nan
11/7/2025 17:05:39,1.17.2,FreeFeed,5,3.98,1,1,Pellet,Left,3,4,8,0,13.52,26,nan
11/7/2025 17:06:52,1.17.2,FreeFeed,5,3.98,1,1,Pellet,Left,3,4,9,0,Timed_out,73,nan
