MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-11-06 16:07:58,1.17.2,FR1,4,3.61,,1,Right,Left,0,1,0,0,,,0.32
2025-11-06 16:08:00,1.17.2,FR1,4,3.61,,1,Left,Left,1,1,0,0,,,0.28
2025-11-06 16:10:06,1.17.2,FR1,4,3.58,,1,RightWithPellet,Left,1,2,0,0,,,0.14
2025-11-06 16:10:09,1.17.2,FR1,4,3.58,1.0,1,Pellet,Left,1,2,1,0,Timed_out,,
2025-11-06 16:15:02,1.17.2,FR1,4,3.59,,1,Left,Left,2,2,1,0,,,0.23
2025-11-06 16:15:03,1.17.2,FR1,4,3.58,1.0,1,Pellet,Left,2,2,2,0,0.71,294.0,
2025-11-06 16:15:15,1.17.2,FR1,4,3.59,,1,Left,Left,3,2,2,0,,,0.1
2025-11-06 16:15:17,1.17.2,FR1,4,3.57,1.0,1,Pellet,Left,3,2,3,0,0.65,14.0,
2025-11-06 16:15:30,1.17.2,FR1,4,3.54,,1,Left,Left,4,2,3,0,,,0.09
2025-11-06 16:15:31,1.17.2,FR1,4,3.58,1.0,1,Pellet,Left,4,2,4,0,0.35,14.0,
2025-11-06 16:21:52,1.17.2,FR1,4,3.58,,1,Right,Left,4,3,4,0,,,0.1
2025-11-06 16:21:54,1.17.2,FR1,4,3.58,,1,Right,Left,4,4,4,0,,,0.26
2025-11-06 16:22:01,1.17.2,FR1,4,3.58,,1,Right,Left,4,5,4,0,,,0.15
2025-11-06 16:23:54,1.17.2,FR1,4,3.56,,1,Left,Left,5,5,4,0,,,0.14
2025-11-06 16:23:55,1.17.2,FR1,4,3.6,1.0,1,Pellet,Left,5,5,5,0,0.06,504.0,
2025-11-06 16:31:56,1.17.2,FR1,4,3.6,,1,Left,Left,6,5,5,0,,,0.07
2025-11-06 16:31:58,1.17.2,FR1,4,3.57,1.0,1,Pellet,Left,6,5,6,0,1.01,483.0,
2025-11-06 16:32:33,1.17.2,FR1,4,3.56,,1,Left,Left,7,5,6,0,,,0.4
2025-11-06 16:32:35,1.17.2,FR1,4,3.56,1.0,1,Pellet,Left,7,5,7,0,0.41,37.0,
2025-11-06 16:32:45,1.17.2,FR1,4,3.58,,1,Left,Left,8,5,7,0,,,0.14
2025-11-06 16:32:47,1.17.2,FR1,4,3.6,1.0,1,Pellet,Left,8,5,8,0,0.77,12.0,
